,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry10Aa1,0.275974025974026,0.2621359223300971,0.3102803738317757,0.3107255520504732,0.28403361344537814,0.25773195876288657,0.2544861337683524,0.2866043613707165,0.25
Cry10Aa2,0.27463651050080773,0.2621359223300971,0.29775280898876405,0.30634920634920637,0.28547297297297297,0.25773195876288657,0.25691056910569104,0.28197226502311246,0.25
Cry10Aa3,0.2775974025974026,0.2621359223300971,0.3102803738317757,0.3107255520504732,0.28403361344537814,0.25773195876288657,0.2528548123980424,0.2850467289719626,0.25
Cry10Aa4,0.2775974025974026,0.2621359223300971,0.3102803738317757,0.3107255520504732,0.28403361344537814,0.25773195876288657,0.2528548123980424,0.2850467289719626,0.25
Cry11Aa1,0.24719101123595505,0.27756653992395436,0.2222222222222222,0.5384615384615384,0.21153846153846154,0.24050632911392406,0.25142857142857145,0.225130890052356,0.42105263157894735
Cry11Aa2,-10000000.0,0.32432432432432434,0.3,0.6666666666666666,0.29411764705882354,0.5,-10000000.0,0.3548387096774194,0.3584905660377358
Cry11Aa3,0.24719101123595505,0.27756653992395436,0.2222222222222222,0.5384615384615384,0.21153846153846154,0.24050632911392406,0.25142857142857145,0.225130890052356,0.42105263157894735
Cry11Aa4,0.24719101123595505,0.27756653992395436,0.2222222222222222,0.5384615384615384,0.21153846153846154,0.24050632911392406,0.25142857142857145,0.225130890052356,0.42105263157894735
Cry11Aa5,0.25280898876404495,0.27756653992395436,0.2222222222222222,0.5384615384615384,0.20625,0.24050632911392406,0.25142857142857145,0.225130890052356,0.42105263157894735
Cry11Ba1,0.21403508771929824,0.2584745762711864,0.21621621621621623,0.21428571428571427,0.19767441860465115,0.2857142857142857,0.25,0.24793388429752067,0.7
Cry11Bb1,0.27450980392156865,0.2683982683982684,0.24193548387096775,0.39285714285714285,0.1951219512195122,0.3125,0.2345679012345679,0.3157894736842105,0.36363636363636365
Cry11Bb2,0.23497267759562843,0.2597402597402597,0.24193548387096775,0.39285714285714285,0.21839080459770116,0.2647058823529412,0.24074074074074073,0.2982456140350877,0.36363636363636365
Cry12Aa1,0.24373956594323873,0.21875,0.28078817733990147,0.304,0.2549800796812749,0.26526315789473687,0.2765957446808511,0.21212121212121213,0.36
Cry13Aa1,0.20714285714285716,0.19166666666666668,0.3508771929824561,0.2034383954154728,0.22053231939163498,0.33661417322834647,0.2145748987854251,0.2361111111111111,0.22033898305084745
Cry13Aa2,0.20714285714285716,0.19166666666666668,0.3508771929824561,0.2034383954154728,0.22053231939163498,0.33661417322834647,0.2145748987854251,0.2361111111111111,0.22033898305084745
Cry14Aa1,0.20030349013657056,0.21296296296296297,0.3488372093023256,0.48148148148148145,0.21207430340557276,0.3194945848375451,0.2727272727272727,0.32786885245901637,0.6363636363636364
Cry14Ab1,0.2743362831858407,0.2222222222222222,0.4090909090909091,0.3157894736842105,0.22592592592592592,0.3207920792079208,0.25,0.2363013698630137,0.2826086956521739
Cry16Aa1,0.2756183745583039,0.24154589371980675,0.28728070175438597,0.2482876712328767,0.2775862068965517,0.27218934911242604,0.2743362831858407,0.25426621160409557,0.3333333333333333
Cry17Aa1,0.2619047619047619,0.2422907488986784,0.27049180327868855,0.26348228043143296,0.2395498392282958,0.24583333333333332,0.3333333333333333,0.23613312202852615,0.45454545454545453
Cry18Aa1,0.27040816326530615,0.38109756097560976,0.3557692307692308,0.2336448598130841,0.27601809954751133,0.25510204081632654,0.23553719008264462,0.28837209302325584,0.2571428571428571
Cry18Ba1,0.23036649214659685,0.38425925925925924,0.31313131313131315,0.21634615384615385,0.23857868020304568,0.22477064220183487,0.2242152466367713,0.27319587628865977,0.25
Cry18Ca1,0.2562814070351759,0.3751937984496124,0.3069306930693069,0.20754716981132076,0.24257425742574257,0.22009569377990432,0.24736842105263157,0.2808988764044944,0.375
Cry19Aa1,0.32463295269168024,0.2600896860986547,0.3628865979381443,0.3019169329073482,0.2731707317073171,0.3162393162393162,0.30093457943925234,0.3220035778175313,0.34375
Cry19Ba1,0.3106796116504854,0.2922374429223744,0.3271375464684015,0.31900826446280994,0.2773972602739726,0.296,0.2976,0.357429718875502,0.3125
