,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry1Ab30,0.35776614310645727,0.26976744186046514,0.27920792079207923,0.27699530516431925,0.8367697594501718,0.24550898203592814,0.30303030303030304,0.4073455759599332,0.2289156626506024
Cry1Ab31,0.35776614310645727,0.26976744186046514,0.27920792079207923,0.28012519561815336,0.8350515463917526,0.24550898203592814,0.30303030303030304,0.4073455759599332,0.4166666666666667
Cry1Ab32,0.35951134380453753,0.26976744186046514,0.27920792079207923,0.28095238095238095,0.8350515463917526,0.24550898203592814,0.30134680134680136,0.4056761268781302,0.4166666666666667
Cry1Ab33,0.3618881118881119,0.26976744186046514,0.2788844621513944,0.28213166144200624,0.8281786941580757,0.24550898203592814,0.30456852791878175,0.41,0.4117647058823529
Cry1Ab34,0.35528596187175043,0.27155172413793105,0.276,0.28115015974440893,0.8127147766323024,0.24550898203592814,0.3063973063973064,0.4073455759599332,0.5384615384615384
Cry1Ab35,0.35776614310645727,0.26976744186046514,0.27920792079207923,0.27856025039123633,0.8367697594501718,0.24550898203592814,0.30303030303030304,0.4073455759599332,0.5384615384615384
Cry1Ab36,0.35602094240837695,0.26976744186046514,0.27920792079207923,0.27699530516431925,0.8350515463917526,0.22163120567375885,0.30354131534569984,0.4073455759599332,0.5384615384615384
Cry1Ab4,0.35776614310645727,0.26976744186046514,0.27920792079207923,0.27856025039123633,0.8367697594501718,0.24550898203592814,0.30303030303030304,0.4073455759599332,0.4166666666666667
Cry1Ab5,0.35776614310645727,0.26976744186046514,0.27920792079207923,0.27856025039123633,0.8367697594501718,0.24550898203592814,0.30303030303030304,0.4073455759599332,0.4166666666666667
Cry1Ab6,0.35602094240837695,0.26976744186046514,0.27920792079207923,0.28012519561815336,0.8350515463917526,0.22202486678507993,0.30033557046979864,0.4073455759599332,0.4166666666666667
Cry1Ab7,0.3542757417102967,0.26976744186046514,0.2811881188118812,0.27543035993740217,0.8367697594501718,0.24550898203592814,0.30405405405405406,0.4056761268781302,0.4166666666666667
Cry1Ab8,0.35776614310645727,0.26976744186046514,0.28174603174603174,0.27856025039123633,0.8333333333333334,0.24550898203592814,0.30303030303030304,0.4053156146179402,0.4166666666666667
Cry1Ab9,0.35776614310645727,0.26976744186046514,0.27920792079207923,0.27856025039123633,0.8367697594501718,0.24550898203592814,0.30303030303030304,0.4073455759599332,0.4166666666666667
Cry1Ac1,0.3315972222222222,0.26976744186046514,0.29457364341085274,0.27384615384615385,1.0,0.25149700598802394,0.29697986577181207,0.3811881188118812,0.3611111111111111
Cry1Ac10,0.3315972222222222,0.26976744186046514,0.29457364341085274,0.27384615384615385,1.0,0.25149700598802394,0.29697986577181207,0.3811881188118812,0.3611111111111111
Cry1Ac11,0.3298611111111111,0.2651162790697674,0.29457364341085274,0.2723076923076923,0.9948186528497409,0.2631578947368421,0.2953020134228188,0.3795379537953795,0.3611111111111111
Cry1Ac12,0.3315972222222222,0.2651162790697674,0.29651162790697677,0.275808936825886,0.9930915371329879,0.2631578947368421,0.2957983193277311,0.3785123966942149,0.3611111111111111
Cry1Ac13,0.3310104529616725,0.2651162790697674,0.29651162790697677,0.2777777777777778,0.9930915371329879,0.24550898203592814,0.2957983193277311,0.3785123966942149,0.4117647058823529
Cry1Ac14,0.3315972222222222,0.2651162790697674,0.29651162790697677,0.275808936825886,0.9930915371329879,0.24550898203592814,0.2957983193277311,0.3785123966942149,0.42857142857142855
Cry1Ac15,0.3333333333333333,0.26976744186046514,0.29651162790697677,0.27426810477657937,0.9948186528497409,0.25149700598802394,0.29747899159663865,0.38181818181818183,0.3611111111111111
Cry1Ac16,0.3315972222222222,0.26976744186046514,0.29457364341085274,0.27384615384615385,1.0,0.25149700598802394,0.29697986577181207,0.3811881188118812,0.3611111111111111
