,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry1Fa2,0.342512908777969,0.2445414847161572,0.3394495412844037,0.28078817733990147,0.4717948717948718,0.29365079365079366,0.285958904109589,0.4908485856905158,0.46153846153846156
Cry1Fa3,0.342512908777969,0.2445414847161572,0.3394495412844037,0.28078817733990147,0.4717948717948718,0.29365079365079366,0.285958904109589,0.4891846921797005,0.4090909090909091
Cry1Fa4,0.342512908777969,0.2445414847161572,0.3394495412844037,0.28078817733990147,0.4717948717948718,0.29365079365079366,0.285958904109589,0.4908485856905158,0.46153846153846156
Cry1Fb1,0.3442340791738382,0.2445414847161572,0.3440366972477064,0.2827140549273021,0.4657534246575342,0.30158730158730157,0.29015544041450775,0.4043261231281198,0.375
Cry1Fb2,0.3442340791738382,0.2445414847161572,0.3440366972477064,0.2827140549273021,0.4657534246575342,0.30158730158730157,0.2906574394463668,0.4043261231281198,0.375
Cry1Fb3,0.3442340791738382,0.2445414847161572,0.3440366972477064,0.2827140549273021,0.46495726495726497,0.30158730158730157,0.2906574394463668,0.400329489291598,0.375
Cry1Fb4,0.3459552495697074,0.2445414847161572,0.3440366972477064,0.2827140549273021,0.46495726495726497,0.30158730158730157,0.2906574394463668,0.3986820428336079,0.375
Cry1Fb5,0.3442340791738382,0.2445414847161572,0.3440366972477064,0.2827140549273021,0.4657534246575342,0.30158730158730157,0.29015544041450775,0.4043261231281198,0.375
Cry1Fb6,0.3459552495697074,0.2445414847161572,0.3440366972477064,0.2827140549273021,0.46495726495726497,0.30158730158730157,0.2906574394463668,0.400329489291598,0.375
Cry1Fb7,0.342512908777969,0.2445414847161572,0.3394495412844037,0.284329563812601,0.464041095890411,0.30158730158730157,0.28842832469775476,0.40266222961730447,0.30434782608695654
Cry1Ga1,0.3696763202725724,0.21212121212121213,0.28125,0.2894308943089431,0.44387755102040816,0.26380368098159507,0.3078231292517007,0.4090909090909091,0.46153846153846156
