,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry1Jc2,0.32781456953642385,0.23104693140794225,0.294,0.2779552715654952,0.46938775510204084,0.2710843373493976,0.3082191780821918,0.3711864406779661,0.4583333333333333
Cry1Jd1,0.3372093023255814,0.23958333333333334,0.292910447761194,0.2973856209150327,0.46554621848739497,0.27710843373493976,0.3163265306122449,0.367479674796748,0.3333333333333333
Cry1Ka1,0.4027072758037225,0.2782608695652174,0.2885375494071146,0.26226993865030673,0.38513513513513514,0.2786885245901639,0.33001658374792703,0.7101449275362319,0.46153846153846156
Cry1Ka2,0.40508474576271186,0.27074235807860264,0.2891089108910891,0.26851851851851855,0.38917089678510997,0.28688524590163933,0.33056478405315615,0.7193548387096774,0.46153846153846156
Cry1La1,0.339041095890411,0.22844827586206898,0.2862595419847328,0.2857142857142857,0.4270833333333333,0.2564102564102564,0.3128205128205128,0.37823834196891193,0.3125
Cry1La2,0.3424657534246575,0.22707423580786026,0.2900763358778626,0.28888888888888886,0.4288194444444444,0.2564102564102564,0.3162393162393162,0.38169257340241797,0.3125
Cry1La3,0.3424657534246575,0.22707423580786026,0.2919847328244275,0.28888888888888886,0.4288194444444444,0.2564102564102564,0.3162393162393162,0.3799654576856649,0.3125
Cry1Ma1,0.411371237458194,0.25877192982456143,0.302,0.27666151468315303,0.37285223367697595,0.23904382470119523,0.3500837520938023,0.5612903225806452,0.375
Cry1Ma2,0.4166666666666667,0.2675438596491228,0.304,0.2828282828282828,0.375,0.24302788844621515,0.35379061371841153,0.5765124555160143,0.375
Cry1Na1,0.39398998330550916,0.24285714285714285,0.2857142857142857,0.264026402640264,0.3844856661045531,0.23430962343096234,0.3157894736842105,0.3976897689768977,0.23529411764705882
Cry1Na2,0.39398998330550916,0.24285714285714285,0.2857142857142857,0.264026402640264,0.3844856661045531,0.23430962343096234,0.3157894736842105,0.3976897689768977,0.23529411764705882
Cry1Na3,0.39398998330550916,0.24285714285714285,0.2893081761006289,0.264026402640264,0.38617200674536256,0.23430962343096234,0.3157894736842105,0.3976897689768977,0.23529411764705882
Cry1Nb1,0.39398998330550916,0.2125984251968504,0.27530364372469635,0.2706896551724138,0.38397328881469117,0.23404255319148937,0.3110720562390158,0.3967741935483871,0.29411764705882354
Cry20Aa1,0.2777777777777778,0.23293172690763053,0.2693726937269373,0.2544,0.2830508474576271,0.27972027972027974,0.2782462057335582,0.27495908346972175,0.23076923076923078
Cry20Ba1,0.27408637873754155,0.27419354838709675,0.2695167286245353,0.26981450252951095,0.29131175468483816,0.2709677419354839,0.2651006711409396,0.31016042780748665,0.4
Cry20Ba2,0.2816399286987522,0.3023255813953488,0.2682926829268293,0.2668918918918919,0.2879045996592845,0.2709677419354839,0.260797342192691,0.3073089700996678,0.4
Cry21Aa1,0.25274725274725274,0.25862068965517243,0.3050847457627119,0.27976190476190477,0.23214285714285715,0.39603960396039606,0.2345679012345679,0.24647887323943662,0.2631578947368421
Cry21Aa2,0.2564102564102564,0.25862068965517243,0.3050847457627119,0.2857142857142857,0.2357142857142857,0.39603960396039606,0.23868312757201646,0.25,0.34210526315789475
Cry21Aa3,0.2564102564102564,0.25,0.28688524590163933,0.2857142857142857,0.23214285714285715,0.3918032786885246,0.23868312757201646,0.24647887323943662,0.22388059701492538
Cry21Ba1,0.25914634146341464,0.21495327102803738,0.2905982905982906,0.32748538011695905,0.2125,0.38613861386138615,0.23265306122448978,0.22348484848484848,0.27906976744186046
Cry21Ca1,0.18411552346570398,0.20666666666666667,0.2457627118644068,0.23270440251572327,0.21865443425076453,0.3510204081632653,0.21875,0.20032840722495895,0.44
Cry21Ca2,0.18411552346570398,0.20666666666666667,0.2457627118644068,0.23270440251572327,0.21865443425076453,0.3510204081632653,0.21875,0.20032840722495895,0.44
Cry21Da1,0.25510204081632654,0.2231404958677686,0.30612244897959184,0.26900584795321636,0.2440944881889764,0.25925925925925924,0.20689655172413793,0.25735294117647056,0.2553191489361702
Cry21Ea1,0.2602739726027397,0.23684210526315788,0.26126126126126126,0.32142857142857145,0.2597402597402597,0.26134585289514867,0.23577235772357724,0.24305555555555555,0.2894736842105263
Cry21Fa1,0.21993127147766323,0.2379421221864952,0.2781456953642384,0.28488372093023256,0.22846441947565543,0.2926829268292683,0.3090909090909091,0.2364217252396166,0.47058823529411764
Cry21Ga1,0.2537878787878788,0.20634920634920634,0.26548672566371684,0.24452554744525548,0.24050632911392406,0.26633986928104575,0.25,0.20553359683794467,0.2972972972972973
Cry21Ha1,0.24535315985130113,0.24680851063829787,0.27702702702702703,0.375,0.21862348178137653,0.2427652733118971,0.21052631578947367,0.22142857142857142,0.22580645161290322
Cry24Aa1,0.29233511586452765,0.2777777777777778,0.28014842300556586,0.28642384105960267,0.2918825561312608,0.24260355029585798,0.29604130808950085,0.29096477794793263,0.5555555555555556
Cry24Ba1,0.29772329246935203,0.2599118942731278,0.2844638949671772,0.27040816326530615,0.31456953642384106,0.21497120921305182,0.29292929292929293,0.29763779527559053,0.26666666666666666
Cry24Ca1,0.2900641025641026,0.21180555555555555,0.25402504472271914,0.3058823529411765,0.3037300177619893,0.2727272727272727,0.27768595041322314,0.3183183183183183,0.3333333333333333
Cry24Da1,0.2985781990521327,0.24187725631768953,0.27788649706457924,0.2805755395683453,0.30097087378640774,0.20594059405940593,0.29132569558101473,0.30793157076205285,0.375
Cry25Aa1,0.3383458646616541,0.24603174603174602,0.31868131868131866,0.24915254237288137,0.3181818181818182,0.21897810218978103,0.2609427609427609,0.26825396825396824,0.42857142857142855
Cry26Aa1,0.3737704918032787,0.25462962962962965,0.2732673267326733,0.2754946727549467,0.33213644524236985,0.26141078838174275,0.34442595673876875,0.3613312202852615,0.2597402597402597
Cry27Aa1,0.27044025157232704,0.2579185520361991,0.3,0.2585949177877429,0.2548076923076923,0.23504273504273504,0.2697160883280757,0.250386398763524,0.3
Cry28Aa1,0.27948303715670436,0.25888324873096447,0.2839506172839506,0.32636655948553056,0.2892057026476578,0.2857142857142857,0.26744186046511625,0.26242236024844723,0.3235294117647059
Cry28Aa2,0.29260450160771706,0.28859060402684567,0.2857142857142857,0.3333333333333333,0.288,0.2918918918918919,0.268370607028754,0.2708978328173375,0.3235294117647059
Cry29Aa1,0.2764084507042254,0.26956521739130435,0.3007518796992481,0.3279742765273312,0.25295109612141653,0.21621621621621623,0.33755274261603374,0.27202472952086554,0.3333333333333333
Cry2Aa1,0.24311926605504589,1.0,0.3125,0.2692307692307692,0.26976744186046514,0.1848341232227488,0.22674418604651161,0.2782608695652174,0.34615384615384615
Cry2Aa10,0.24311926605504589,1.0,0.3125,0.2692307692307692,0.26976744186046514,0.1848341232227488,0.22674418604651161,0.2782608695652174,0.34615384615384615
Cry2Aa11,0.24311926605504589,0.9622047244094488,0.3125,0.2692307692307692,0.26976744186046514,0.1895734597156398,0.23837209302325582,0.28063241106719367,0.34615384615384615
