,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry2Ab5,0.25229357798165136,0.8767772511848341,0.22988505747126436,0.2583732057416268,0.2784090909090909,0.19003115264797507,0.23837209302325582,0.2565217391304348,0.2777777777777778
Cry2Ab6,0.25688073394495414,0.8751974723538705,0.22988505747126436,0.2583732057416268,0.2897727272727273,0.19314641744548286,0.2441860465116279,0.2608695652173913,0.2777777777777778
Cry2Ab7,0.25688073394495414,0.8736176935229067,0.22988505747126436,0.2583732057416268,0.2897727272727273,0.19003115264797507,0.25,0.2608695652173913,0.2777777777777778
Cry2Ab8,0.25688073394495414,0.8799368088467614,0.22988505747126436,0.2583732057416268,0.2897727272727273,0.1895734597156398,0.2441860465116279,0.2608695652173913,0.2777777777777778
Cry2Ab9,0.25688073394495414,0.8799368088467614,0.22988505747126436,0.2583732057416268,0.27102803738317754,0.19003115264797507,0.2441860465116279,0.2608695652173913,0.2777777777777778
Cry2Ac1,0.25112107623318386,0.8025276461295419,0.25,0.32,0.2727272727272727,0.17427385892116182,0.23121387283236994,0.25296442687747034,0.2222222222222222
Cry2Ac10,0.2556053811659193,0.8214849921011058,0.2413793103448276,0.32,0.2897727272727273,0.18930041152263374,0.23255813953488372,0.26877470355731226,0.32
Cry2Ac11,0.2636363636363636,0.8199052132701422,0.23563218390804597,0.32,0.2897727272727273,0.18930041152263374,0.22674418604651161,0.26877470355731226,0.32
Cry2Ac12,0.2556053811659193,0.8199052132701422,0.2413793103448276,0.32,0.2840909090909091,0.18930041152263374,0.2441860465116279,0.2727272727272727,0.32
Cry2Ac2,0.2556053811659193,0.8246445497630331,0.2413793103448276,0.32,0.2897727272727273,0.18930041152263374,0.23255813953488372,0.26877470355731226,0.32
Cry2Ac3,0.2556053811659193,0.8189102564102564,0.2413793103448276,0.32,0.29069767441860467,0.18930041152263374,0.2441860465116279,0.26877470355731226,0.32
Cry2Ac4,0.2556053811659193,0.8199052132701422,0.2413793103448276,0.30666666666666664,0.29545454545454547,0.18930041152263374,0.23255813953488372,0.26877470355731226,0.32
Cry2Ac5,0.2600896860986547,0.8199052132701422,0.3020833333333333,0.32,0.2897727272727273,0.17916666666666667,0.23255813953488372,0.26877470355731226,0.32
Cry2Ac6,0.2556053811659193,0.8230647709320695,0.2413793103448276,0.32,0.2897727272727273,0.18930041152263374,0.23255813953488372,0.26877470355731226,0.32
Cry2Ac7,0.2556053811659193,0.8206349206349206,0.2413793103448276,0.32,0.2897727272727273,0.18930041152263374,0.2441860465116279,0.26877470355731226,0.32
Cry2Ac8,0.2556053811659193,0.8214849921011058,0.2413793103448276,0.32,0.2897727272727273,0.18930041152263374,0.23255813953488372,0.26877470355731226,0.32
Cry2Ac9,0.2556053811659193,0.8214849921011058,0.2413793103448276,0.32,0.2897727272727273,0.18930041152263374,0.23255813953488372,0.26877470355731226,0.32
Cry2Ad1,0.25688073394495414,0.8578199052132701,0.23563218390804597,0.32,0.26635514018691586,0.1943127962085308,0.26900584795321636,0.2608695652173913,0.36
Cry2Ad2,0.25688073394495414,0.8625592417061612,0.2413793103448276,0.32,0.26635514018691586,0.1943127962085308,0.26900584795321636,0.2608695652173913,0.36
Cry2Ad3,0.26146788990825687,0.8530805687203792,0.2471264367816092,0.22058823529411764,0.27102803738317754,0.1943127962085308,0.27485380116959063,0.26521739130434785,0.36
Cry2Ad4,0.25688073394495414,0.8593996840442338,0.23563218390804597,0.32,0.26635514018691586,0.1943127962085308,0.26900584795321636,0.2608695652173913,0.36
Cry2Ad5,0.26605504587155965,0.8578199052132701,0.22988505747126436,0.21008403361344538,0.29545454545454547,0.1943127962085308,0.27906976744186046,0.26521739130434785,0.2777777777777778
Cry2Ae1,0.24882629107981222,0.9067930489731437,0.3333333333333333,0.25654450261780104,0.27906976744186046,0.19718309859154928,0.2616279069767442,0.27391304347826084,0.1724137931034483
Cry2Af1,0.2727272727272727,0.8151658767772512,0.23163841807909605,0.24279835390946503,0.2857142857142857,0.1943127962085308,0.23786407766990292,0.2782608695652174,0.32142857142857145
