,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry32Pa1,0.32972136222910214,0.2583732057416268,0.25044091710758376,0.27938931297709924,0.3554817275747508,0.2287480680061824,0.279874213836478,0.2976190476190476,0.8571428571428571
Cry32Qa1,0.29127725856697817,0.2290748898678414,0.27722772277227725,0.2573189522342065,0.28139904610492844,0.26582278481012656,0.25878594249201275,0.26506024096385544,0.3076923076923077
Cry32Ra1,0.2846034214618974,0.2706422018348624,0.29133858267716534,0.2669683257918552,0.28330522765598654,0.26136363636363635,0.26644736842105265,0.2818590704647676,0.24444444444444444
Cry32Sa1,0.3089430894308943,0.2,0.2676056338028169,0.2826086956521739,0.30971993410214166,0.3829787234042553,0.37448559670781895,0.3516819571865443,0.2222222222222222
Cry32Ta1,0.292259083728278,0.23039215686274508,0.30127041742286753,0.27699530516431925,0.3014586709886548,0.2534722222222222,0.2704,0.2981651376146789,0.375
Cry32Ua1,0.3333333333333333,0.20707070707070707,0.2802197802197802,0.2850539291217257,0.3064516129032258,0.23949579831932774,0.38408304498269896,0.320695102685624,0.21505376344086022
Cry32Va1,0.3048973143759874,0.28415300546448086,0.2956989247311828,0.2893553223388306,0.2993421052631579,0.23553719008264462,0.2731629392971246,0.29774436090225564,0.24271844660194175
Cry39Aa1,0.3215434083601286,0.25112107623318386,0.33752620545073375,0.3145539906103286,0.3101694915254237,0.24583333333333332,0.2838283828382838,0.31191222570532917,0.4117647058823529
Cry3Aa1,1.0,0.24311926605504589,0.27898550724637683,0.2673107890499195,0.3310104529616725,0.2608695652173913,0.3687707641196013,0.38436482084690554,0.375
Cry3Aa10,0.9931506849315068,0.24311926605504589,0.2828096118299446,0.2640901771336554,0.3310104529616725,0.2608695652173913,0.3687707641196013,0.38273615635179153,0.375
Cry3Aa11,0.9931506849315068,0.23394495412844038,0.27898550724637683,0.26570048309178745,0.32752613240418116,0.2608695652173913,0.3687707641196013,0.38273615635179153,0.375
Cry3Aa12,1.0,0.24311926605504589,0.27898550724637683,0.2673107890499195,0.3356643356643357,0.2608695652173913,0.3687707641196013,0.38436482084690554,0.375
Cry3Aa2,1.0,0.24311926605504589,0.27898550724637683,0.2673107890499195,0.3356643356643357,0.2608695652173913,0.3687707641196013,0.38436482084690554,0.375
Cry3Aa3,1.0,0.24311926605504589,0.27898550724637683,0.2673107890499195,0.3356643356643357,0.2608695652173913,0.3687707641196013,0.38436482084690554,0.375
Cry3Aa4,0.9982876712328768,0.24311926605504589,0.27717391304347827,0.2673107890499195,0.33797909407665505,0.2608695652173913,0.3687707641196013,0.38273615635179153,0.375
Cry3Aa5,1.0,0.24311926605504589,0.27898550724637683,0.2673107890499195,0.3356643356643357,0.2608695652173913,0.3687707641196013,0.38436482084690554,0.375
Cry3Aa6,1.0,0.24311926605504589,0.27898550724637683,0.2673107890499195,0.3356643356643357,0.2608695652173913,0.3687707641196013,0.38436482084690554,0.375
Cry3Aa7,1.0,0.24311926605504589,0.27898550724637683,0.2673107890499195,0.3310104529616725,0.2608695652173913,0.3687707641196013,0.38436482084690554,0.375
Cry3Aa8,0.9982876712328768,0.24311926605504589,0.275797373358349,0.2673107890499195,0.3310104529616725,0.2608695652173913,0.36710963455149503,0.38436482084690554,0.375
Cry3Aa9,0.9794520547945206,0.23394495412844038,0.26542056074766357,0.2704,0.3356643356643357,0.2565217391304348,0.36486486486486486,0.3762214983713355,0.375
Cry3Ba1,0.6677966101694915,0.23873873873873874,0.29518072289156627,0.27906976744186046,0.3481989708404803,0.25096525096525096,0.3545751633986928,0.3980263157894737,0.5555555555555556
Cry3Ba2,0.6677966101694915,0.23873873873873874,0.29518072289156627,0.2848,0.3481989708404803,0.25096525096525096,0.3545751633986928,0.3980263157894737,0.5555555555555556
Cry3Ba3,0.6694915254237288,0.24553571428571427,0.2859960552268245,0.2848,0.3516295025728988,0.25868725868725867,0.3536184210526316,0.38613861386138615,0.23711340206185566
Cry3Bb1,0.6796610169491526,0.24352331606217617,0.2891566265060241,0.2896,0.34982935153583616,0.2564102564102564,0.36,0.3918032786885246,0.26804123711340205
