,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry54Ab1,0.2896341463414634,0.2191780821917808,0.30718954248366015,0.3211009174311927,0.2838915470494418,0.2827586206896552,0.26275115919629055,0.2678311499272198,0.4444444444444444
Cry54Ba1,0.27035330261136714,0.25742574257425743,0.3177892918825561,0.32326283987915405,0.26959247648902823,0.2606060606060606,0.23809523809523808,0.2474074074074074,0.21965317919075145
Cry54Ba2,0.26881720430107525,0.3150684931506849,0.3229706390328152,0.32326283987915405,0.2727272727272727,0.26666666666666666,0.2365079365079365,0.2474074074074074,0.25
Cry56Aa1,0.26578073089701,0.2801724137931034,0.2885032537960954,0.26755852842809363,0.2733446519524618,0.26282051282051283,0.2687813021702838,0.28820116054158607,0.1951219512195122
Cry56Aa2,0.2639344262295082,0.2801724137931034,0.2885032537960954,0.26865671641791045,0.2733446519524618,0.26282051282051283,0.2687813021702838,0.28820116054158607,0.1951219512195122
Cry56Aa3,0.2639344262295082,0.2801724137931034,0.2841648590021692,0.263681592039801,0.2733446519524618,0.25,0.2654424040066778,0.2862669245647969,0.1951219512195122
Cry56Aa4,0.2639344262295082,0.2801724137931034,0.2885032537960954,0.26865671641791045,0.2733446519524618,0.26282051282051283,0.2687813021702838,0.28820116054158607,0.1951219512195122
Cry57Aa1,0.2967479674796748,0.22727272727272727,0.25217391304347825,0.27522935779816515,0.23228995057660626,0.2554347826086957,0.24600638977635783,0.2703862660944206,0.325
Cry57Ab1,0.28991596638655465,0.26900584795321636,0.2600349040139616,0.2824858757062147,0.2459016393442623,0.28846153846153844,0.2459546925566343,0.2288,0.4
Cry58Aa1,0.1984126984126984,0.18907563025210083,0.24087591240875914,0.5,0.22509225092250923,0.27073552425665104,0.625,0.3829787234042553,0.7142857142857143
Cry59Aa1,0.27399650959860383,0.3076923076923077,0.277992277992278,0.28547297297297297,0.2864406779661017,0.25196850393700787,0.2752902155887231,0.2916666666666667,0.3076923076923077
Cry59Ba1,0.28496503496503495,0.30357142857142855,0.28468468468468466,0.278125,0.2820097244732577,0.2835820895522388,0.28500823723228996,0.28885400313971743,0.28125
Cry5Aa1,0.22697368421052633,0.20657276995305165,0.2474747474747475,0.2824427480916031,0.24066390041493776,0.48,0.21810699588477367,0.23454833597464342,0.47368421052631576
