,1DLCA,1I5PA,1W99A,2C9KA,4ARXA,4D8MA,5ZI1A,6OWKA,4ZGHA
Cry7Fa1,0.3474025974025974,0.23243243243243245,0.2607944732297064,0.26910828025477707,0.3010204081632653,0.2530612244897959,0.362876254180602,0.3402889245585875,0.8571428571428571
Cry7Fa2,0.3474025974025974,0.23243243243243245,0.2607944732297064,0.26910828025477707,0.3010204081632653,0.2530612244897959,0.36454849498327757,0.3418940609951846,0.8571428571428571
Cry7Fb1,0.3462157809983897,0.2594594594594595,0.2694300518134715,0.2877813504823151,0.31893687707641194,0.24081632653061225,0.3530377668308703,0.3359746434231379,0.3888888888888889
Cry7Fb2,0.3462157809983897,0.2594594594594595,0.2694300518134715,0.2877813504823151,0.31893687707641194,0.24081632653061225,0.3530377668308703,0.3359746434231379,0.3888888888888889
Cry7Fb3,0.3462157809983897,0.2594594594594595,0.26770293609671847,0.2861736334405145,0.31727574750830567,0.23673469387755103,0.3497536945812808,0.3328050713153724,0.3888888888888889
Cry7Ga1,0.3544715447154472,0.25,0.31097560975609756,0.30537974683544306,0.34375,0.2679425837320574,0.37375415282392027,0.3791469194312796,0.21875
Cry7Ga2,0.3544715447154472,0.25,0.31097560975609756,0.30537974683544306,0.34375,0.2679425837320574,0.37375415282392027,0.3791469194312796,0.21875
Cry7Gb1,0.34868421052631576,0.25,0.3054989816700611,0.28253968253968254,0.33063209076175043,0.27380952380952384,0.34891485809682804,0.36577708006279436,0.5
Cry7Gc1,0.3536184210526316,0.21800947867298578,0.3095723014256619,0.2914012738853503,0.3333333333333333,0.295,0.35333333333333333,0.374805598755832,0.5
Cry7Gd1,0.34201954397394135,0.22018348623853212,0.30364372469635625,0.29448818897637796,0.342668863261944,0.28095238095238095,0.3456998313659359,0.360062893081761,0.22784810126582278
Cry7Ha1,0.37006578947368424,0.22826086956521738,0.30639097744360905,0.26802507836990597,0.3384879725085911,0.21923076923076923,0.3233333333333333,0.30854430379746833,0.3125
Cry7Ia1,0.35343383584589616,0.23706896551724138,0.2836438923395445,0.2655007949125596,0.30715532286212915,0.21499013806706113,0.31871838111298484,0.3401253918495298,0.2708333333333333
Cry7Ja1,0.3354632587859425,0.26605504587155965,0.24324324324324326,0.27596899224806204,0.3242811501597444,0.25,0.34563758389261745,0.33437990580847726,0.42105263157894735
Cry7Ka1,0.37181663837011886,0.25821596244131456,0.2859778597785978,0.2875605815831987,0.3287435456110155,0.23706896551724138,0.3176470588235294,0.35914332784184516,0.30952380952380953
Cry7Kb1,0.3839590443686007,0.20179372197309417,0.26475849731663686,0.2724358974358974,0.3411371237458194,0.2175732217573222,0.3149078726968174,0.361247947454844,0.2708333333333333
Cry7La1,0.3355263157894737,0.22459893048128343,0.281947261663286,0.26604068857589985,0.29838709677419356,0.2992125984251969,0.3627287853577371,0.30340557275541796,0.3333333333333333
Cry8Aa1,0.4186046511627907,0.25961538461538464,0.2845528455284553,0.28794992175273865,0.35973597359735976,0.251063829787234,0.36938435940099834,0.49193548387096775,0.20930232558139536
Cry8Ab1,0.41042345276872966,0.27884615384615385,0.292894280762565,0.28110599078341014,0.3516295025728988,0.2554112554112554,0.37748344370860926,0.47360248447204967,0.5
Cry8Ac1,0.4012841091492777,0.26976744186046514,0.28695652173913044,0.28923076923076924,0.3413078149920255,0.24242424242424243,0.35275080906148865,0.4602446483180428,0.5
Cry8Ad1,0.39403973509933776,0.26540284360189575,0.2958015267175573,0.27086614173228346,0.375,0.2264957264957265,0.3595317725752508,0.4854368932038835,0.275
Cry8Ba1,0.38971807628524047,0.2361111111111111,0.2931654676258993,0.28708133971291866,0.3752066115702479,0.25092250922509224,0.3515358361774744,0.4311475409836066,0.5
Cry8Bb1,0.3967479674796748,0.24232081911262798,0.2826510721247563,0.284375,0.3756177924217463,0.2556390977443609,0.3741496598639456,0.4469820554649266,0.2857142857142857
Cry8Bc1,0.3973727422003284,0.24232081911262798,0.267578125,0.2794348508634223,0.36319218241042345,0.2593984962406015,0.3787878787878788,0.43577235772357725,0.5
Cry8Ca1,0.3595505617977528,0.24413145539906103,0.3014256619144603,0.2692913385826772,0.30236486486486486,0.2635135135135135,0.3465346534653465,0.34520123839009287,0.5
Cry8Ca2,0.3595505617977528,0.24413145539906103,0.3014256619144603,0.2692913385826772,0.30236486486486486,0.2635135135135135,0.3465346534653465,0.34520123839009287,0.5
Cry8Ca3,0.3595505617977528,0.24413145539906103,0.3014256619144603,0.2692913385826772,0.30236486486486486,0.2635135135135135,0.3465346534653465,0.34674922600619196,0.5
Cry8Ca4,0.3595505617977528,0.24413145539906103,0.3014256619144603,0.2692913385826772,0.30236486486486486,0.2631578947368421,0.3465346534653465,0.34520123839009287,0.5
Cry8Da1,0.39373970345963755,0.2543103448275862,0.2972972972972973,0.294770206022187,0.3654485049833887,0.22077922077922077,0.3582089552238806,0.539906103286385,0.3013698630136986
Cry8Da2,0.39373970345963755,0.2543103448275862,0.2972972972972973,0.294770206022187,0.3654485049833887,0.22077922077922077,0.3582089552238806,0.539906103286385,0.3013698630136986
Cry8Da3,0.39373970345963755,0.2543103448275862,0.2972972972972973,0.294770206022187,0.3654485049833887,0.22077922077922077,0.3582089552238806,0.539906103286385,0.3013698630136986
Cry8Db1,0.36451612903225805,0.25862068965517243,0.2841918294849023,0.29329173166926675,0.3576158940397351,0.22077922077922077,0.35914332784184516,0.4521604938271605,0.35
Cry8Ea1,0.41638795986622074,0.2597402597402597,0.28733459357277885,0.2795031055900621,0.37355371900826445,0.2584745762711864,0.37142857142857144,0.4568106312292359,0.5
Cry8Ea2,0.40924092409240925,0.24778761061946902,0.2862523540489642,0.2795031055900621,0.3702479338842975,0.2584745762711864,0.373109243697479,0.45439469320066334,0.5
Cry8Ea3,0.41638795986622074,0.24888888888888888,0.28733459357277885,0.2748447204968944,0.371900826446281,0.2708333333333333,0.3697478991596639,0.45514950166112955,0.5
Cry8Ea4,0.4180602006688963,0.24778761061946902,0.28544423440453687,0.2779503105590062,0.371900826446281,0.2584745762711864,0.373109243697479,0.45514950166112955,0.5
Cry8Ea5,0.41638795986622074,0.2597402597402597,0.28733459357277885,0.2795031055900621,0.37355371900826445,0.2584745762711864,0.37142857142857144,0.4568106312292359,0.5
Cry8Ea6,0.40924092409240925,0.24778761061946902,0.28544423440453687,0.2795031055900621,0.371900826446281,0.2584745762711864,0.373109243697479,0.45439469320066334,0.5
Cry8Fa1,0.3888,0.3068181818181818,0.2963636363636364,0.28859060402684567,0.3414239482200647,0.2982456140350877,0.373109243697479,0.40717628705148207,0.5714285714285714
Cry8Fa2,0.3888,0.3068181818181818,0.2963636363636364,0.2902684563758389,0.3414239482200647,0.2982456140350877,0.373109243697479,0.40717628705148207,0.5714285714285714
Cry8Fa3,0.3904,0.3068181818181818,0.3,0.28859060402684567,0.343042071197411,0.2982456140350877,0.373109243697479,0.4040561622464899,0.5714285714285714
Cry8Fa4,0.3888,0.3068181818181818,0.2963636363636364,0.28859060402684567,0.3414239482200647,0.2982456140350877,0.373109243697479,0.40717628705148207,0.5714285714285714
Cry8Ga1,0.3772357723577236,0.24338624338624337,0.30935251798561153,0.28503184713375795,0.34206219312602293,0.28205128205128205,0.3936348408710218,0.367601246105919,0.4
