,2XH6A,2ZOEA,3WINE,4MJTA
Cry1Ab30,0.2903225806451613,0.2878787878787879,0.2288135593220339,0.2619047619047619
Cry1Ab31,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab32,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab33,0.25806451612903225,0.2878787878787879,0.22033898305084745,0.27058823529411763
Cry1Ab34,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.27058823529411763
Cry1Ab35,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab36,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.27058823529411763
Cry1Ab4,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab5,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab6,0.4,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab7,0.4,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab8,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ab9,0.2903225806451613,0.2878787878787879,0.22033898305084745,0.3333333333333333
Cry1Ac1,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac10,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac11,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac12,-10000000.0,0.26865671641791045,0.4444444444444444,0.27058823529411763
Cry1Ac13,-10000000.0,0.26865671641791045,0.4444444444444444,0.375
Cry1Ac14,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac15,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac16,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac17,0.21333333333333335,0.5,0.4444444444444444,0.375
Cry1Ac18,0.2,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac19,0.3333333333333333,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac2,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac20,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac21,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac22,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac23,-10000000.0,0.375,0.36,0.2823529411764706
Cry1Ac24,0.35,0.375,0.4166666666666667,0.375
Cry1Ac25,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac26,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac27,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac28,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac29,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac3,-10000000.0,0.26865671641791045,0.4444444444444444,0.375
Cry1Ac30,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac31,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac32,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac33,0.2,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac34,0.2,0.26865671641791045,0.4444444444444444,0.375
Cry1Ac35,0.2,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac36,0.2,0.26865671641791045,0.4444444444444444,0.375
Cry1Ac37,0.2,0.26865671641791045,0.4444444444444444,0.27058823529411763
Cry1Ac38,0.35,0.375,0.4166666666666667,0.375
Cry1Ac39,0.35,0.26865671641791045,0.4166666666666667,0.27058823529411763
Cry1Ac4,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac5,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac6,-10000000.0,0.26865671641791045,0.4444444444444444,0.375
Cry1Ac7,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac8,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ac9,0.35,0.26865671641791045,0.4166666666666667,0.375
Cry1Ad1,0.30612244897959184,0.3333333333333333,0.28,0.28205128205128205
Cry1Ad2,0.25806451612903225,0.3333333333333333,0.28,0.28205128205128205
Cry1Ae1,0.24444444444444444,0.2878787878787879,0.4166666666666667,0.27058823529411763
Cry1Af1,0.2903225806451613,0.2878787878787879,0.23728813559322035,0.3333333333333333
Cry1Ag1,0.35,0.3181818181818182,0.23529411764705882,0.2702702702702703
Cry1Ah1,0.30303030303030304,0.26865671641791045,0.4166666666666667,0.375
Cry1Ah2,0.35,0.26865671641791045,0.4444444444444444,0.375
Cry1Ah3,0.30303030303030304,0.26865671641791045,0.4166666666666667,0.375
Cry1Ai1,0.30303030303030304,0.26865671641791045,0.4166666666666667,0.35294117647058826
Cry1Ai2,0.30303030303030304,0.26865671641791045,0.4166666666666667,0.35294117647058826
Cry1Aj1,0.25806451612903225,0.2878787878787879,0.3,0.35294117647058826
Cry1Ba1,0.3333333333333333,0.25,0.4166666666666667,0.2903225806451613
Cry1Ba2,0.3333333333333333,0.25,0.4166666666666667,0.2903225806451613
Cry1Ba3,0.3333333333333333,0.25,0.4166666666666667,0.2903225806451613
