,2XH6A,2ZOEA,3WINE,4MJTA
Cry1Jc2,0.22988505747126436,0.375,0.4166666666666667,0.35714285714285715
Cry1Jd1,0.23333333333333334,0.3333333333333333,0.5,0.2857142857142857
Cry1Ka1,0.2857142857142857,0.375,0.4166666666666667,0.23636363636363636
Cry1Ka2,0.2857142857142857,0.25675675675675674,0.4166666666666667,0.75
Cry1La1,0.45454545454545453,0.5,0.2463768115942029,0.47058823529411764
Cry1La2,0.45454545454545453,0.5,0.26785714285714285,0.47058823529411764
Cry1La3,0.45454545454545453,0.5,0.26785714285714285,0.47058823529411764
Cry1Ma1,0.23076923076923078,0.42857142857142855,0.3333333333333333,0.2558139534883721
Cry1Ma2,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5
Cry1Na1,0.23333333333333334,0.2903225806451613,0.2631578947368421,0.5454545454545454
Cry1Na2,0.23333333333333334,0.2903225806451613,0.2631578947368421,0.5454545454545454
Cry1Na3,0.23333333333333334,0.2903225806451613,0.2631578947368421,0.5454545454545454
Cry1Nb1,0.23728813559322035,0.3684210526315789,0.2727272727272727,0.5454545454545454
Cry20Aa1,0.375,0.22950819672131148,0.4666666666666667,0.3275862068965517
Cry20Ba1,0.4117647058823529,0.4117647058823529,0.625,0.25925925925925924
Cry20Ba2,0.4117647058823529,0.4117647058823529,0.625,0.25925925925925924
Cry21Aa1,0.37777777777777777,0.22784810126582278,0.2631578947368421,0.36363636363636365
Cry21Aa2,0.37777777777777777,0.22784810126582278,0.2631578947368421,0.36363636363636365
Cry21Aa3,0.37777777777777777,0.22784810126582278,0.2631578947368421,0.36363636363636365
Cry21Ba1,0.3333333333333333,0.6363636363636364,0.2765957446808511,0.36363636363636365
Cry21Ca1,0.375,0.21518987341772153,0.25510204081632654,0.37037037037037035
Cry21Ca2,0.375,0.21518987341772153,0.17525773195876287,0.37037037037037035
Cry21Da1,0.5454545454545454,0.22784810126582278,0.25510204081632654,0.2903225806451613
Cry21Ea1,0.375,0.21518987341772153,0.391304347826087,0.1640625
Cry21Fa1,0.4666666666666667,0.21518987341772153,0.25862068965517243,-10000000.0
Cry21Ga1,0.3225806451612903,0.20253164556962025,0.8888888888888888,0.42857142857142855
Cry21Ha1,0.3333333333333333,0.3684210526315789,0.375,0.4166666666666667
Cry24Aa1,0.43478260869565216,0.35714285714285715,0.3269230769230769,0.35714285714285715
Cry24Ba1,0.625,-10000000.0,0.3,0.4090909090909091
Cry24Ca1,0.7,0.46153846153846156,0.6363636363636364,0.3333333333333333
Cry24Da1,0.2702702702702703,0.44,0.32558139534883723,0.22340425531914893
Cry25Aa1,0.5,0.6363636363636364,0.3191489361702128,0.3235294117647059
Cry26Aa1,0.6666666666666666,0.3076923076923077,0.3132530120481928,0.2972972972972973
Cry27Aa1,0.375,0.35,0.5,0.4666666666666667
Cry28Aa1,0.27586206896551724,0.5,0.4,0.42857142857142855
Cry28Aa2,0.27586206896551724,0.5,0.35294117647058826,0.42857142857142855
Cry29Aa1,-10000000.0,0.2631578947368421,0.38095238095238093,0.18181818181818182
Cry2Aa1,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa10,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa11,0.3142857142857143,0.3333333333333333,0.2222222222222222,0.16071428571428573
Cry2Aa12,0.4117647058823529,0.34782608695652173,0.3548387096774194,0.2857142857142857
Cry2Aa13,0.2857142857142857,0.34782608695652173,0.3548387096774194,0.20833333333333334
Cry2Aa14,0.4117647058823529,0.34782608695652173,0.3548387096774194,0.35294117647058826
Cry2Aa15,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa16,0.34285714285714286,0.34782608695652173,0.3548387096774194,0.2857142857142857
Cry2Aa17,-10000000.0,0.34782608695652173,0.4375,0.20833333333333334
Cry2Aa18,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa19,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa2,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa20,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa21,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa3,0.3142857142857143,0.3333333333333333,0.2222222222222222,0.16071428571428573
Cry2Aa4,0.4117647058823529,0.34782608695652173,0.3,0.2857142857142857
Cry2Aa5,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.20833333333333334
