,2XH6A,2ZOEA,3WINE,4MJTA
Cry32Pa1,0.4375,0.3125,0.4117647058823529,0.45454545454545453
Cry32Qa1,0.45454545454545453,0.3103448275862069,0.35294117647058826,0.6
Cry32Ra1,0.21052631578947367,0.3548387096774194,0.24675324675324675,0.25
Cry32Sa1,0.4230769230769231,0.21052631578947367,0.2857142857142857,0.8333333333333334
Cry32Ta1,0.36363636363636365,0.35714285714285715,0.2619047619047619,0.24528301886792453
Cry32Ua1,0.38235294117647056,0.29411764705882354,0.47058823529411764,0.17857142857142858
Cry32Va1,0.3548387096774194,0.375,0.29411764705882354,0.25
Cry39Aa1,0.34782608695652173,0.625,0.3125,0.3333333333333333
Cry3Aa1,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa10,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa11,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa12,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa2,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa3,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa4,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa5,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa6,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa7,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa8,-10000000.0,0.5,0.6666666666666666,0.625
Cry3Aa9,-10000000.0,0.3888888888888889,0.2564102564102564,0.2127659574468085
Cry3Ba1,0.36363636363636365,0.2916666666666667,0.5555555555555556,0.2653061224489796
Cry3Ba2,0.36363636363636365,0.2916666666666667,0.29411764705882354,0.2653061224489796
Cry3Ba3,0.45454545454545453,0.625,0.27586206896551724,-10000000.0
Cry3Bb1,-10000000.0,0.3333333333333333,0.29411764705882354,0.28125
Cry3Bb2,0.35,-10000000.0,0.5555555555555556,0.2653061224489796
Cry3Bb3,0.8,0.3333333333333333,0.39285714285714285,0.28125
Cry3Ca1,0.4375,0.6,0.21739130434782608,0.38095238095238093
Cry40Aa1,0.4444444444444444,0.5,0.4,0.3888888888888889
Cry40Ba1,0.3333333333333333,0.35294117647058826,0.32,0.30303030303030304
Cry40Ca1,0.3103448275862069,0.42857142857142855,0.25333333333333335,0.3333333333333333
Cry40Da1,-10000000.0,0.35714285714285715,0.3953488372093023,0.2542372881355932
Cry41Aa1,1.0,0.2857142857142857,0.5,0.2
Cry41Ab1,1.0,0.2692307692307692,0.5,0.2
Cry41Ba1,0.2676056338028169,0.25,0.37037037037037035,0.2222222222222222
Cry41Ba2,0.2676056338028169,0.25,0.37037037037037035,0.2222222222222222
Cry41Ca1,0.37037037037037035,0.2857142857142857,0.32432432432432434,0.7142857142857143
Cry42Aa1,0.24390243902439024,0.38095238095238093,0.5,0.4090909090909091
Cry43Aa1,0.28,0.3055555555555556,0.2727272727272727,0.2972972972972973
Cry43Aa2,0.2727272727272727,0.35714285714285715,0.2727272727272727,0.2972972972972973
Cry43Ba1,0.7,0.2916666666666667,0.4166666666666667,0.30952380952380953
Cry43Ca1,0.36585365853658536,0.5,0.2676056338028169,0.2564102564102564
Cry43Cb1,0.36585365853658536,0.4166666666666667,0.26582278481012656,0.2727272727272727
Cry43Cc1,0.36585365853658536,0.36,0.3157894736842105,0.30303030303030304
Cry44Aa1,0.38095238095238093,0.2903225806451613,0.32142857142857145,0.35714285714285715
Cry47Aa1,0.3684210526315789,0.47619047619047616,0.36666666666666664,0.3
Cry48Aa1,0.3333333333333333,0.2597402597402597,0.30612244897959184,0.2692307692307692
Cry48Aa2,0.3333333333333333,0.2597402597402597,0.30612244897959184,0.2692307692307692
Cry48Aa3,0.3333333333333333,0.2597402597402597,0.30612244897959184,0.2692307692307692
Cry48Ab1,0.35185185185185186,0.34615384615384615,0.2916666666666667,0.5
Cry48Ab2,0.35185185185185186,0.34615384615384615,0.2916666666666667,0.5
