,2XH6A,2ZOEA,3WINE,4MJTA
Cry54Ab1,0.32,0.17647058823529413,0.23469387755102042,0.2857142857142857
Cry54Ba1,0.34782608695652173,0.29411764705882354,0.8333333333333334,0.25
Cry54Ba2,0.3333333333333333,0.29411764705882354,0.8333333333333334,0.25
Cry56Aa1,0.35555555555555557,-10000000.0,0.4117647058823529,0.45454545454545453
Cry56Aa2,0.25882352941176473,-10000000.0,0.4117647058823529,0.45454545454545453
Cry56Aa3,0.35555555555555557,-10000000.0,0.4117647058823529,0.45454545454545453
Cry56Aa4,0.35555555555555557,-10000000.0,0.4117647058823529,0.45454545454545453
Cry57Aa1,0.25925925925925924,0.28,0.6666666666666666,-10000000.0
Cry57Ab1,0.3793103448275862,0.32,0.6,0.2727272727272727
Cry58Aa1,0.5454545454545454,0.5384615384615384,0.24719101123595505,-10000000.0
Cry59Aa1,0.3953488372093023,-10000000.0,0.2222222222222222,0.4074074074074074
Cry59Ba1,0.25274725274725274,0.3333333333333333,0.45,0.3333333333333333
Cry5Aa1,-10000000.0,0.36,0.3333333333333333,0.4117647058823529
Cry5Ab1,-10000000.0,0.4444444444444444,0.3181818181818182,0.29411764705882354
Cry5Ac1,0.5454545454545454,0.4444444444444444,0.3181818181818182,0.4117647058823529
Cry5Ad1,0.391304347826087,0.3103448275862069,0.4166666666666667,0.2903225806451613
Cry5Ba1,0.47058823529411764,0.28,0.36666666666666664,0.35294117647058826
Cry5Ba2,0.47058823529411764,0.28,0.36666666666666664,0.35294117647058826
Cry5Ba3,0.47058823529411764,0.28,0.36666666666666664,0.35294117647058826
Cry5Ca1,0.3888888888888889,0.4,0.29411764705882354,0.25396825396825395
Cry5Ca2,0.3888888888888889,0.4,0.29411764705882354,0.25396825396825395
Cry5Da1,0.6666666666666666,0.3076923076923077,0.2702702702702703,0.3142857142857143
Cry5Da2,0.6666666666666666,0.3076923076923077,0.2702702702702703,0.3142857142857143
Cry5Ea1,0.4117647058823529,0.6,0.4857142857142857,0.3333333333333333
Cry5Ea2,0.4117647058823529,0.6,0.4857142857142857,0.3333333333333333
Cry61Aa1,0.35,0.38095238095238093,0.37037037037037035,0.2702702702702703
Cry61Aa2,0.35,0.38095238095238093,0.37037037037037035,0.2702702702702703
Cry61Aa3,0.35,0.38095238095238093,0.37037037037037035,0.2702702702702703
Cry62Aa1,0.5454545454545454,0.4230769230769231,0.6,0.38461538461538464
Cry63Aa1,0.38461538461538464,0.2222222222222222,0.6666666666666666,0.3
Cry65Aa1,0.5333333333333333,0.5,0.3235294117647059,0.43333333333333335
Cry65Aa2,0.5333333333333333,0.5,0.3235294117647059,0.43333333333333335
Cry66Aa1,0.36,0.24324324324324326,0.28846153846153844,0.38461538461538464
Cry66Aa2,0.36,0.24324324324324326,0.28846153846153844,0.38461538461538464
Cry67Aa1,0.2222222222222222,0.29545454545454547,0.3333333333333333,0.19672131147540983
Cry67Aa2,0.2222222222222222,0.29545454545454547,0.3333333333333333,0.19672131147540983
Cry68Aa1,0.3,0.35714285714285715,0.4444444444444444,0.5833333333333334
Cry69Aa1,0.3888888888888889,0.25,0.28169014084507044,0.28
Cry69Aa2,0.3888888888888889,0.25,0.28169014084507044,0.28
Cry69Ab1,0.20930232558139536,0.3,0.4444444444444444,0.4074074074074074
Cry70Aa1,0.3055555555555556,0.391304347826087,0.3,0.1951219512195122
Cry70Ba1,0.25,0.8333333333333334,0.35,0.2222222222222222
Cry70Bb1,0.4,0.4666666666666667,0.3111111111111111,0.2222222222222222
Cry71Aa1,0.2909090909090909,0.2894736842105263,0.3888888888888889,0.5294117647058824
Cry72Aa1,0.2916666666666667,-10000000.0,0.43478260869565216,0.42105263157894735
Cry72Aa2,0.2727272727272727,-10000000.0,0.3,0.42105263157894735
Cry73Aa1,0.35,0.5714285714285714,0.5,0.25
Cry73Ba1,0.34615384615384615,0.2926829268292683,0.46153846153846156,0.5
Cry73Ba2,0.34615384615384615,0.2926829268292683,0.46153846153846156,0.5
Cry7Aa1,0.29545454545454547,0.28,0.288135593220339,0.46153846153846156
Cry7Aa2,0.24561403508771928,0.26,0.288135593220339,0.46153846153846156
Cry7Ab1,0.5,0.29411764705882354,0.3050847457627119,0.46153846153846156
Cry7Ab2,0.5,0.26,0.3050847457627119,0.46153846153846156
Cry7Ab3,0.5,0.26,0.3050847457627119,0.46153846153846156
Cry7Ab4,0.5,0.29411764705882354,0.3050847457627119,0.46153846153846156
Cry7Ab5,0.5294117647058824,0.29411764705882354,0.288135593220339,0.29411764705882354
Cry7Ab6,0.5,0.29411764705882354,0.3050847457627119,0.46153846153846156
Cry7Ab7,0.5,0.26,0.3050847457627119,0.46153846153846156
Cry7Ab8,0.5,0.26,0.3050847457627119,0.46153846153846156
Cry7Ab9,0.5,0.26,0.3050847457627119,0.3170731707317073
Cry7Ac1,0.4375,0.32142857142857145,0.32075471698113206,0.8333333333333334
Cry7Ba1,0.21739130434782608,0.22413793103448276,0.32142857142857145,0.22033898305084745
Cry7Bb1,0.5,0.21428571428571427,0.3125,0.1746031746031746
Cry7Ca1,0.3333333333333333,0.23809523809523808,0.28125,0.26666666666666666
Cry7Cb1,-10000000.0,0.21428571428571427,0.24761904761904763,0.35
Cry7Da1,0.5294117647058824,0.23809523809523808,0.22077922077922077,0.2222222222222222
Cry7Da2,0.5294117647058824,0.23809523809523808,0.22077922077922077,0.2222222222222222
Cry7Da3,0.5294117647058824,0.23809523809523808,0.22077922077922077,0.2222222222222222
Cry7Ea1,0.34,0.375,0.25,0.45
Cry7Ea2,0.34,0.375,0.22549019607843138,0.45
Cry7Ea3,0.34,0.375,0.22549019607843138,0.45
