,2XH6A,2ZOEA,3WINE,4MJTA
Cry7Fa1,0.45454545454545453,0.44,0.28,0.26666666666666666
Cry7Fa2,0.45454545454545453,0.44,0.2391304347826087,0.26666666666666666
Cry7Fb1,0.2727272727272727,0.2727272727272727,0.4117647058823529,0.24675324675324675
Cry7Fb2,0.2727272727272727,0.2727272727272727,0.4117647058823529,0.25
Cry7Fb3,0.275,0.2727272727272727,0.4117647058823529,0.2597402597402597
Cry7Ga1,0.3508771929824561,0.20689655172413793,0.2641509433962264,0.4
Cry7Ga2,0.3508771929824561,0.20689655172413793,0.2641509433962264,0.4
Cry7Gb1,0.35714285714285715,0.21649484536082475,0.7,0.2857142857142857
Cry7Gc1,0.30927835051546393,0.2826086956521739,0.5714285714285714,0.2558139534883721
Cry7Gd1,0.29896907216494845,0.36363636363636365,0.5714285714285714,0.35
Cry7Ha1,0.35714285714285715,0.27586206896551724,0.2426470588235294,0.3
Cry7Ia1,0.3902439024390244,0.20114942528735633,0.2982456140350877,0.22580645161290322
Cry7Ja1,0.4166666666666667,0.20408163265306123,0.271523178807947,0.26666666666666666
Cry7Ka1,0.5,0.3888888888888889,0.25,0.375
Cry7Kb1,0.2777777777777778,0.3888888888888889,0.24193548387096775,0.3235294117647059
Cry7La1,0.22602739726027396,0.2826086956521739,0.3333333333333333,0.5384615384615384
Cry8Aa1,0.27586206896551724,0.3055555555555556,0.22916666666666666,0.42857142857142855
Cry8Ab1,0.24528301886792453,0.3333333333333333,0.2830188679245283,0.4375
Cry8Ac1,0.45454545454545453,0.3333333333333333,0.7142857142857143,0.5
Cry8Ad1,0.3125,0.5,0.38,0.2375
Cry8Ba1,0.3448275862068966,0.23076923076923078,0.2926829268292683,0.4166666666666667
Cry8Bb1,0.3448275862068966,0.4166666666666667,0.34146341463414637,0.2631578947368421
Cry8Bc1,0.5454545454545454,0.4166666666666667,0.34146341463414637,0.2631578947368421
Cry8Ca1,0.2692307692307692,0.2857142857142857,0.4,0.42857142857142855
Cry8Ca2,0.2692307692307692,0.2857142857142857,0.4,0.42857142857142855
Cry8Ca3,0.37037037037037035,0.2857142857142857,0.4,0.42857142857142855
Cry8Ca4,0.2692307692307692,0.2857142857142857,0.4,0.42857142857142855
Cry8Da1,0.5,0.2857142857142857,0.4,0.24285714285714285
Cry8Da2,0.5,0.2857142857142857,0.4,0.24285714285714285
Cry8Da3,0.5,0.2857142857142857,0.4,0.24285714285714285
Cry8Db1,0.5,0.2857142857142857,0.4,0.24285714285714285
Cry8Ea1,0.4375,0.3333333333333333,0.2641509433962264,1.0
Cry8Ea2,0.4375,0.3333333333333333,0.2641509433962264,1.0
Cry8Ea3,0.4375,0.3333333333333333,0.2641509433962264,1.0
Cry8Ea4,0.4375,0.3333333333333333,0.4,1.0
Cry8Ea5,0.4375,0.3333333333333333,0.2641509433962264,1.0
Cry8Ea6,0.4375,0.3333333333333333,0.2641509433962264,1.0
Cry8Fa1,0.4666666666666667,0.2619047619047619,0.2682926829268293,0.3076923076923077
Cry8Fa2,0.4666666666666667,0.2619047619047619,0.2682926829268293,0.3076923076923077
Cry8Fa3,0.4666666666666667,0.2619047619047619,0.2682926829268293,0.3076923076923077
Cry8Fa4,0.4666666666666667,0.2619047619047619,0.2682926829268293,0.3076923076923077
Cry8Ga1,0.2857142857142857,0.2571428571428571,0.358974358974359,0.5294117647058824
Cry8Ga2,0.2916666666666667,0.2571428571428571,0.358974358974359,0.5294117647058824
Cry8Ga3,0.2916666666666667,0.2571428571428571,0.358974358974359,0.5294117647058824
Cry8Ha1,0.2804878048780488,0.2727272727272727,0.3684210526315789,0.21052631578947367
Cry8Hb1,0.25925925925925924,0.3181818181818182,0.4,0.2391304347826087
Cry8Ia1,0.26666666666666666,0.32608695652173914,0.3695652173913043,0.25
Cry8Ia2,0.26666666666666666,0.36363636363636365,0.34782608695652173,0.25
Cry8Ia3,0.26666666666666666,0.2542372881355932,0.34782608695652173,0.25
Cry8Ia4,0.2857142857142857,0.2542372881355932,0.34782608695652173,0.25
Cry8Ib1,0.5384615384615384,0.2777777777777778,0.2857142857142857,0.391304347826087
Cry8Ib2,0.5384615384615384,0.2542372881355932,0.2857142857142857,0.391304347826087
Cry8Ib3,0.5384615384615384,0.2777777777777778,0.2857142857142857,0.391304347826087
Cry8Ja1,0.4375,0.2857142857142857,0.4,1.0
Cry8Ka1,0.3103448275862069,0.4166666666666667,0.3333333333333333,0.2647058823529412
Cry8Ka2,0.3142857142857143,0.4166666666666667,0.45,0.2647058823529412
Cry8Ka3,0.3448275862068966,0.5,0.45,0.2647058823529412
Cry8Kb1,0.3142857142857143,0.4166666666666667,0.45,0.2647058823529412
Cry8Kb2,0.3142857142857143,0.4166666666666667,0.45,0.2647058823529412
Cry8Kb3,0.3142857142857143,0.4166666666666667,0.45,0.2647058823529412
Cry8La1,0.5833333333333334,0.7142857142857143,0.20454545454545456,0.3125
Cry8Ma1,0.2608695652173913,0.3333333333333333,0.4,0.2777777777777778
Cry8Ma2,0.19148936170212766,-10000000.0,0.42857142857142855,0.2777777777777778
