,2XH6A,2ZOEA,3WINE,4MJTA
Cry8Ma3,0.2608695652173913,0.3333333333333333,0.4,0.2777777777777778
Cry8Na1,0.42857142857142855,0.25,0.6363636363636364,0.47619047619047616
Cry8Pa1,0.27450980392156865,0.28125,0.45,0.22448979591836735
Cry8Pa2,0.27450980392156865,0.28125,0.45,0.22448979591836735
Cry8Pa3,0.27450980392156865,0.28125,0.45,0.22448979591836735
Cry8Qa1,0.3142857142857143,0.4166666666666667,0.45,0.44
Cry8Qa2,0.3142857142857143,0.4166666666666667,0.45,0.44
Cry8Ra1,0.3076923076923077,0.3181818181818182,0.3695652173913043,0.3793103448275862
Cry8Sa1,0.3333333333333333,0.3181818181818182,0.5294117647058824,0.5555555555555556
Cry8Ta1,0.3333333333333333,0.25,0.3684210526315789,0.36666666666666664
Cry9Aa1,0.2682926829268293,0.3684210526315789,0.5,0.391304347826087
Cry9Aa2,0.2682926829268293,0.3684210526315789,0.5,0.391304347826087
Cry9Aa3,0.2682926829268293,0.3684210526315789,0.5,0.391304347826087
Cry9Aa4,0.2916666666666667,0.3125,0.3333333333333333,0.391304347826087
Cry9Aa5,0.2682926829268293,0.38461538461538464,0.5,0.5
Cry9Ba1,0.4444444444444444,0.28,0.5,0.2978723404255319
Cry9Ba2,0.4444444444444444,0.28,0.5,0.23943661971830985
Cry9Bb1,0.4666666666666667,0.31666666666666665,0.27419354838709675,0.75
Cry9Ca1,0.3333333333333333,0.358974358974359,0.3181818181818182,0.29310344827586204
Cry9Ca2,0.3333333333333333,0.358974358974359,0.3181818181818182,0.75
Cry9Cb1,0.3055555555555556,0.38461538461538464,0.47058823529411764,0.2777777777777778
Cry9Da1,0.2682926829268293,0.358974358974359,0.19672131147540983,0.5
Cry9Da2,0.24444444444444444,0.625,0.3409090909090909,0.5
Cry9Da3,0.2682926829268293,0.358974358974359,0.19672131147540983,0.5
Cry9Da4,0.2682926829268293,0.358974358974359,0.19672131147540983,0.5
Cry9Db1,0.34615384615384615,0.28,0.18032786885245902,0.5
Cry9Dc1,0.375,0.358974358974359,0.35,0.5
Cry9Ea1,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea10,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea11,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea2,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea3,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea4,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea5,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea6,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Ea7,0.7,0.358974358974359,0.3333333333333333,0.75
Cry9Ea8,0.5454545454545454,0.25,0.3333333333333333,0.75
Cry9Ea9,0.5454545454545454,0.358974358974359,0.3333333333333333,0.75
Cry9Eb1,0.2682926829268293,0.3684210526315789,0.19672131147540983,0.625
Cry9Eb2,0.2682926829268293,0.28,0.19672131147540983,0.625
Cry9Eb3,0.2682926829268293,0.28,0.19672131147540983,0.625
Cry9Ec1,0.375,0.5,0.42105263157894735,0.25609756097560976
Cry9Ed1,0.35294117647058826,0.32727272727272727,0.34285714285714286,0.75
Cry9Ee1,0.3235294117647059,0.358974358974359,0.2903225806451613,0.8
Cry9Ee2,0.3235294117647059,0.358974358974359,0.2903225806451613,0.8
Cry9Fa1,0.3888888888888889,0.28,0.3611111111111111,0.3888888888888889
Cry9Ga1,0.625,0.3333333333333333,0.4166666666666667,0.23404255319148937
