,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry10Aa1,0.5294117647058824,0.4,0.42857142857142855,0.34285714285714286,0.5454545454545454,0.3157894736842105,0.6,0.5333333333333333,0.4117647058823529
Cry10Aa2,0.47058823529411764,0.4,0.45454545454545453,0.34285714285714286,0.46153846153846156,0.3157894736842105,0.6,0.5333333333333333,0.4444444444444444
Cry10Aa3,0.5294117647058824,0.4,0.42857142857142855,0.34285714285714286,0.5454545454545454,0.3157894736842105,0.6,0.5333333333333333,0.4117647058823529
Cry10Aa4,0.5294117647058824,0.4,0.42857142857142855,0.34285714285714286,0.5454545454545454,0.3157894736842105,0.6,0.5333333333333333,0.4117647058823529
Cry11Aa1,0.3548387096774194,0.3888888888888889,0.34782608695652173,0.3157894736842105,0.625,0.4,0.34615384615384615,0.25301204819277107,0.2926829268292683
Cry11Aa2,0.29545454545454547,0.5714285714285714,0.34782608695652173,-10000000.0,-10000000.0,-10000000.0,-10000000.0,0.19642857142857142,-10000000.0
Cry11Aa3,0.3548387096774194,0.3888888888888889,0.34782608695652173,0.3157894736842105,0.625,0.4,0.34615384615384615,0.25301204819277107,0.2926829268292683
Cry11Aa4,0.3548387096774194,0.3888888888888889,0.34782608695652173,0.3157894736842105,0.625,0.4,0.34615384615384615,0.25301204819277107,0.2926829268292683
Cry11Aa5,0.3548387096774194,0.3888888888888889,0.5,0.3157894736842105,0.625,0.4,0.34615384615384615,0.25301204819277107,0.2926829268292683
Cry11Ba1,0.3,0.3076923076923077,0.3333333333333333,0.2727272727272727,0.2962962962962963,0.22580645161290322,0.35294117647058826,0.4666666666666667,0.5714285714285714
Cry11Bb1,0.5,0.3888888888888889,0.391304347826087,0.37142857142857144,0.34782608695652173,0.34210526315789475,-10000000.0,0.20253164556962025,0.5714285714285714
Cry11Bb2,0.3,0.3888888888888889,0.391304347826087,0.34285714285714286,0.34782608695652173,0.34210526315789475,-10000000.0,0.24210526315789474,0.5714285714285714
Cry12Aa1,0.3333333333333333,0.5,0.21212121212121213,0.391304347826087,0.25,0.5714285714285714,0.35714285714285715,0.36,0.29545454545454547
Cry13Aa1,0.36363636363636365,0.23529411764705882,0.4117647058823529,0.3333333333333333,0.3333333333333333,0.35,-10000000.0,0.4666666666666667,0.3333333333333333
Cry13Aa2,0.36363636363636365,0.23529411764705882,0.4117647058823529,0.3333333333333333,0.3333333333333333,0.35,-10000000.0,0.4666666666666667,0.3333333333333333
Cry14Aa1,0.23404255319148937,-10000000.0,0.2978723404255319,0.3076923076923077,0.28205128205128205,0.2857142857142857,0.42857142857142855,0.4166666666666667,-10000000.0
Cry14Ab1,-10000000.0,0.4117647058823529,0.32142857142857145,0.26666666666666666,0.375,0.3333333333333333,0.42857142857142855,0.4444444444444444,0.5555555555555556
Cry16Aa1,-10000000.0,0.3,0.25,0.38095238095238093,0.3888888888888889,0.6666666666666666,0.2826086956521739,0.20408163265306123,0.2608695652173913
Cry17Aa1,0.2916666666666667,0.2641509433962264,0.36363636363636365,0.22727272727272727,0.2647058823529412,0.4482758620689655,0.34782608695652173,0.3103448275862069,0.24390243902439024
Cry18Aa1,0.18181818181818182,0.2857142857142857,0.32,0.2857142857142857,0.2916666666666667,0.375,0.5454545454545454,0.35,0.3125
Cry18Ba1,0.24242424242424243,0.32432432432432434,0.7142857142857143,0.22807017543859648,0.2916666666666667,0.5,0.325,0.24096385542168675,0.43478260869565216
Cry18Ca1,0.21875,0.35714285714285715,-10000000.0,0.5833333333333334,0.2826086956521739,0.7142857142857143,0.4230769230769231,0.25862068965517243,0.23880597014925373
Cry19Aa1,0.5,0.5,0.19298245614035087,0.2077922077922078,0.5,0.27586206896551724,0.3225806451612903,0.20634920634920634,0.2972972972972973
Cry19Ba1,0.29411764705882354,0.4,0.26666666666666666,0.21428571428571427,0.2972972972972973,1.0,-10000000.0,0.21428571428571427,-10000000.0
Cry1Aa1,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa10,0.23423423423423423,0.28125,0.45,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa11,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa12,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.28888888888888886
Cry1Aa13,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.28888888888888886
Cry1Aa14,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3333333333333333,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa15,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa16,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa17,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa18,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa19,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa2,0.23423423423423423,-10000000.0,0.24691358024691357,0.6666666666666666,0.2962962962962963,0.5,0.36363636363636365,0.38461538461538464,0.28888888888888886
Cry1Aa20,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.28888888888888886
Cry1Aa21,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.30303030303030304
Cry1Aa22,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.28888888888888886
Cry1Aa23,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.3111111111111111
Cry1Aa24,0.23423423423423423,-10000000.0,0.24691358024691357,0.6666666666666666,0.2962962962962963,0.32,0.3333333333333333,0.38461538461538464,0.3111111111111111
Cry1Aa25,0.23423423423423423,0.28125,0.24691358024691357,0.6666666666666666,0.3448275862068966,0.5,0.25,0.38461538461538464,0.28888888888888886
