,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry1Ab30,0.23770491803278687,0.35,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab31,0.23770491803278687,0.35,0.45,0.30434782608695654,0.1935483870967742,0.5,0.2222222222222222,0.46153846153846156,0.28888888888888886
Cry1Ab32,0.23770491803278687,0.35,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab33,0.3684210526315789,0.35,0.2926829268292683,0.30434782608695654,0.20967741935483872,0.5,0.5,0.36,0.28888888888888886
Cry1Ab34,0.26153846153846155,0.35,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.32,0.3333333333333333
Cry1Ab35,0.23770491803278687,0.35,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab36,0.23770491803278687,0.35,0.3170731707317073,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab4,0.23770491803278687,0.35,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab5,0.23770491803278687,0.35,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab6,0.23770491803278687,0.22972972972972974,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab7,0.23770491803278687,0.35,0.3333333333333333,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ab8,0.23770491803278687,0.35,0.2926829268292683,0.30434782608695654,0.3448275862068966,0.5,0.5555555555555556,0.46153846153846156,0.28888888888888886
Cry1Ab9,0.23770491803278687,0.35,0.2926829268292683,0.30434782608695654,0.1935483870967742,0.5,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac1,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac10,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac11,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac12,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.5555555555555556,0.46153846153846156,0.3111111111111111
Cry1Ac13,0.24615384615384617,0.35,0.45,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.5,0.46153846153846156,0.3111111111111111
Cry1Ac14,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.5555555555555556,0.46153846153846156,0.3111111111111111
Cry1Ac15,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac16,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac17,0.24615384615384617,0.35,0.45,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.45454545454545453,0.46153846153846156,0.3111111111111111
Cry1Ac18,0.2459016393442623,0.35,0.45,0.30434782608695654,0.1864406779661017,0.22123893805309736,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac19,0.24107142857142858,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac2,0.23770491803278687,0.35,0.45,0.30434782608695654,0.1864406779661017,0.22123893805309736,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac20,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac21,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac22,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac23,0.23809523809523808,0.5,0.2926829268292683,0.30434782608695654,0.2962962962962963,0.2328767123287671,0.4666666666666667,0.46153846153846156,0.2222222222222222
Cry1Ac24,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac25,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac26,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac27,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac28,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac29,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac3,0.24615384615384617,0.35,0.45,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.45454545454545453,0.46153846153846156,0.3111111111111111
Cry1Ac30,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac31,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac32,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac33,0.23770491803278687,0.35,0.45,0.30434782608695654,0.1864406779661017,0.22123893805309736,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac34,0.23770491803278687,0.35,0.45,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.45454545454545453,0.46153846153846156,0.3111111111111111
Cry1Ac35,0.2459016393442623,0.35,0.45,0.30434782608695654,0.1864406779661017,0.22123893805309736,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac36,0.23770491803278687,0.35,0.45,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.45454545454545453,0.38461538461538464,0.3111111111111111
Cry1Ac37,0.23770491803278687,0.35,0.45,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.45454545454545453,0.46153846153846156,0.3111111111111111
Cry1Ac38,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.2222222222222222,0.46153846153846156,0.28888888888888886
Cry1Ac39,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
Cry1Ac4,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac5,0.23423423423423423,0.35,0.45,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.3111111111111111
Cry1Ac6,0.24615384615384617,0.35,0.45,0.30434782608695654,0.1864406779661017,0.5454545454545454,0.45454545454545453,0.46153846153846156,0.3111111111111111
Cry1Ac7,0.23423423423423423,0.35,0.2926829268292683,0.30434782608695654,0.1864406779661017,0.28,0.25,0.46153846153846156,0.28888888888888886
