,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry1Ba4,0.23076923076923078,0.46153846153846156,0.22018348623853212,-10000000.0,0.45454545454545453,0.24561403508771928,-10000000.0,0.6470588235294118,0.4
Cry1Ba5,0.23076923076923078,0.46153846153846156,0.22018348623853212,-10000000.0,0.45454545454545453,0.24561403508771928,-10000000.0,0.6470588235294118,0.4
Cry1Ba6,0.23076923076923078,0.46153846153846156,0.22018348623853212,-10000000.0,0.45454545454545453,0.24561403508771928,-10000000.0,0.6470588235294118,0.4
Cry1Ba7,0.23076923076923078,0.46153846153846156,0.46153846153846156,-10000000.0,0.45454545454545453,0.24561403508771928,-10000000.0,0.6470588235294118,0.4
Cry1Ba8,0.23076923076923078,0.46153846153846156,0.22018348623853212,-10000000.0,0.45454545454545453,0.24561403508771928,-10000000.0,0.6470588235294118,0.4
Cry1Bb1,0.5454545454545454,0.3125,0.42105263157894735,0.2727272727272727,0.3,0.24561403508771928,0.3125,0.21311475409836064,0.4
Cry1Bb2,0.5454545454545454,0.3125,0.42105263157894735,0.2619047619047619,0.3,0.24561403508771928,0.3125,0.21311475409836064,0.4
Cry1Bb3,0.5454545454545454,0.3125,0.42105263157894735,0.2619047619047619,0.3,0.24561403508771928,0.3125,0.21311475409836064,0.4
Cry1Bc1,0.5454545454545454,0.26666666666666666,0.42105263157894735,0.2727272727272727,0.5,0.22784810126582278,0.3125,0.21311475409836064,0.3888888888888889
Cry1Bd1,0.28,0.3125,0.25,0.2727272727272727,0.4074074074074074,0.24561403508771928,0.3125,0.3064516129032258,0.4
Cry1Bd2,0.28,0.3125,0.208955223880597,0.2727272727272727,0.4074074074074074,0.24561403508771928,0.3125,0.3064516129032258,0.4
Cry1Bd3,0.28,0.3125,0.25,0.2727272727272727,0.4074074074074074,0.24561403508771928,0.3125,0.21311475409836064,0.4
Cry1Be1,0.5454545454545454,0.3125,0.5,-10000000.0,0.3,0.22807017543859648,0.3125,0.4666666666666667,0.37037037037037035
Cry1Be2,0.5454545454545454,0.3125,0.5,-10000000.0,0.3,0.625,0.3125,0.4666666666666667,0.37037037037037035
Cry1Be3,0.5454545454545454,0.3125,0.5,-10000000.0,0.3,0.21518987341772153,0.3125,0.4666666666666667,0.37037037037037035
Cry1Be4,0.5454545454545454,0.3125,0.5,-10000000.0,0.3,0.21518987341772153,0.3125,0.4666666666666667,0.37037037037037035
Cry1Be5,0.5454545454545454,0.3125,0.5,-10000000.0,0.3,0.21518987341772153,0.3125,0.4666666666666667,0.37037037037037035
Cry1Bf1,0.23684210526315788,0.3125,0.4666666666666667,-10000000.0,0.3,0.24561403508771928,-10000000.0,0.2608695652173913,0.37037037037037035
Cry1Bf2,0.23684210526315788,0.3125,0.2676056338028169,-10000000.0,0.3,0.24561403508771928,-10000000.0,0.2608695652173913,0.37037037037037035
Cry1Bg1,0.23684210526315788,0.3125,0.36,0.2727272727272727,0.23,0.22641509433962265,0.1791044776119403,0.32432432432432434,0.23404255319148937
Cry1Bh1,0.4444444444444444,0.3157894736842105,0.3939393939393939,0.2727272727272727,0.4,0.21518987341772153,0.2564102564102564,0.6111111111111112,0.4444444444444444
Cry1Bi1,0.23076923076923078,0.3125,0.36,0.2727272727272727,0.23,0.22641509433962265,0.1791044776119403,0.4666666666666667,0.23404255319148937
Cry1Bj1,0.23121387283236994,0.46153846153846156,0.5,-10000000.0,0.24528301886792453,0.21518987341772153,0.28888888888888886,0.4666666666666667,0.2631578947368421
Cry1Ca1,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Ca10,0.38461538461538464,0.38461538461538464,0.625,0.24,-10000000.0,0.24444444444444444,0.23728813559322035,0.4,0.42857142857142855
Cry1Ca11,0.26506024096385544,0.2857142857142857,0.29545454545454547,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.24242424242424243
Cry1Ca12,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.3409090909090909,0.3191489361702128,0.5
Cry1Ca13,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.3409090909090909,0.3191489361702128,0.5
Cry1Ca14,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.3409090909090909,0.3191489361702128,0.5
Cry1Ca15,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Ca2,0.26506024096385544,0.2857142857142857,0.29545454545454547,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.24242424242424243
Cry1Ca3,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Ca4,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Ca5,0.26506024096385544,0.2857142857142857,0.375,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.4166666666666667,0.24242424242424243
Cry1Ca6,0.26506024096385544,0.38461538461538464,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Ca7,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Ca8,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Ca9,0.26506024096385544,0.2857142857142857,0.2222222222222222,0.46153846153846156,0.37037037037037035,0.35714285714285715,0.2753623188405797,0.3191489361702128,0.5
Cry1Cb1,0.4375,0.7142857142857143,0.25396825396825395,0.42857142857142855,0.375,0.5,0.25,0.3191489361702128,0.22448979591836735
Cry1Cb2,0.4375,0.7142857142857143,0.25396825396825395,0.42857142857142855,0.375,0.5,0.25,0.3191489361702128,0.22448979591836735
Cry1Cb3,0.2692307692307692,0.7142857142857143,0.25396825396825395,0.3888888888888889,0.375,0.5,0.30434782608695654,0.3191489361702128,0.30434782608695654
Cry1Da1,0.6666666666666666,0.7142857142857143,0.3225806451612903,0.75,0.3142857142857143,0.5,0.2608695652173913,0.2978723404255319,0.3076923076923077
Cry1Da2,0.6666666666666666,0.7142857142857143,0.3225806451612903,0.75,0.3142857142857143,0.5,0.2608695652173913,0.2978723404255319,0.3076923076923077
Cry1Da3,0.2857142857142857,0.32142857142857145,0.3225806451612903,0.75,0.3142857142857143,0.5,0.4444444444444444,0.2978723404255319,0.3076923076923077
Cry1Da4,0.2857142857142857,0.32142857142857145,0.3225806451612903,0.75,0.3142857142857143,0.5,0.4444444444444444,0.2978723404255319,0.3076923076923077
Cry1Db1,0.6666666666666666,0.3157894736842105,0.3225806451612903,0.36363636363636365,0.3142857142857143,0.36,0.4444444444444444,0.26666666666666666,0.38461538461538464
Cry1Db2,0.6666666666666666,0.3157894736842105,0.3225806451612903,0.36363636363636365,0.3142857142857143,0.36,0.4444444444444444,0.26666666666666666,0.38461538461538464
Cry1Dc1,0.2923076923076923,0.7142857142857143,0.45454545454545453,0.75,0.3142857142857143,0.5,0.2608695652173913,0.2978723404255319,0.2948717948717949
Cry1Dd1,0.23728813559322035,0.3548387096774194,0.5625,0.36363636363636365,0.26126126126126126,0.5,0.2926829268292683,0.32,0.30952380952380953
Cry1Ea1,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea10,0.24242424242424243,-10000000.0,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.2391304347826087,0.3448275862068966
Cry1Ea11,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea12,0.24242424242424243,0.28125,0.5,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.2978723404255319,0.375
Cry1Ea2,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea3,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea4,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea5,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea6,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea7,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Ea8,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.24615384615384617,0.3448275862068966
Cry1Ea9,0.24242424242424243,0.28125,0.2222222222222222,0.3103448275862069,0.3448275862068966,0.28169014084507044,0.2898550724637681,0.23846153846153847,0.3448275862068966
Cry1Eb1,0.26666666666666666,0.5833333333333334,0.265625,0.32558139534883723,0.3235294117647059,0.5,-10000000.0,0.375,0.36363636363636365
Cry1Fa1,0.2857142857142857,0.375,0.3333333333333333,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.4117647058823529,0.375,0.2459016393442623
