,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry1Fa2,0.2857142857142857,0.375,0.3333333333333333,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.25,0.2916666666666667,0.2375
Cry1Fa3,0.2857142857142857,0.375,0.3333333333333333,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.25,0.2916666666666667,0.2375
Cry1Fa4,0.2857142857142857,0.375,0.3333333333333333,0.5263157894736842,0.42105263157894735,0.3684210526315789,0.25,0.2916666666666667,0.2375
Cry1Fb1,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.5,0.2608695652173913,0.2898550724637681,0.22580645161290322
Cry1Fb2,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.5,0.2608695652173913,0.2898550724637681,0.22580645161290322
Cry1Fb3,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.5,0.2608695652173913,0.2898550724637681,0.22580645161290322
Cry1Fb4,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.5,0.2608695652173913,0.2898550724637681,0.24193548387096775
Cry1Fb5,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.5,0.2608695652173913,0.2898550724637681,0.22580645161290322
Cry1Fb6,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.5,0.2608695652173913,0.2898550724637681,0.22580645161290322
Cry1Fb7,0.2857142857142857,0.7142857142857143,0.3333333333333333,0.5263157894736842,0.35294117647058826,0.5,0.2608695652173913,0.2898550724637681,0.22580645161290322
Cry1Ga1,0.4117647058823529,0.22580645161290322,0.3684210526315789,0.6666666666666666,0.3448275862068966,0.3225806451612903,0.25,-10000000.0,0.25925925925925924
Cry1Ga2,0.32558139534883723,0.22580645161290322,0.3684210526315789,0.6666666666666666,0.2857142857142857,0.3,0.36363636363636365,0.3409090909090909,0.25925925925925924
Cry1Gb1,0.27419354838709675,0.45454545454545453,0.2222222222222222,0.3023255813953488,0.42105263157894735,0.391304347826087,0.25,0.34,0.34285714285714286
Cry1Gb2,0.27419354838709675,0.45454545454545453,0.2222222222222222,0.3023255813953488,0.42105263157894735,0.391304347826087,0.25,0.34,0.34285714285714286
Cry1Gc1,0.2692307692307692,0.28125,0.42105263157894735,0.35294117647058826,0.3448275862068966,0.21621621621621623,0.25,0.4,0.45454545454545453
Cry1Ha1,0.275,0.3103448275862069,0.2222222222222222,0.6666666666666666,0.25316455696202533,0.45,0.2608695652173913,0.3088235294117647,0.2903225806451613
Cry1Hb1,0.25,0.5,0.2619047619047619,0.6666666666666666,0.42105263157894735,0.45,0.45,0.39285714285714285,0.2903225806451613
Cry1Hb2,0.25,0.5,0.2619047619047619,0.6666666666666666,0.42105263157894735,0.45,0.45,0.39285714285714285,0.2903225806451613
Cry1Hc1,0.3333333333333333,0.46153846153846156,0.24,0.6666666666666666,0.24050632911392406,0.45,0.23404255319148937,0.2978723404255319,0.35294117647058826
Cry1Ia1,0.35294117647058826,0.2631578947368421,0.42105263157894735,0.2727272727272727,0.45,0.2777777777777778,0.275,0.3125,0.25806451612903225
Cry1Ia10,0.35294117647058826,0.2631578947368421,0.42105263157894735,0.2727272727272727,0.45,0.2777777777777778,0.275,0.3125,0.25806451612903225
Cry1Ia11,0.35294117647058826,0.2631578947368421,0.42105263157894735,0.2727272727272727,0.45,0.2777777777777778,0.275,0.3125,0.25806451612903225
