,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry1Jc2,0.18478260869565216,0.19607843137254902,0.25,0.22388059701492538,0.29411764705882354,0.22123893805309736,0.5833333333333334,0.46153846153846156,0.2903225806451613
Cry1Jd1,0.17391304347826086,0.23529411764705882,0.45454545454545453,0.24390243902439024,0.35,-10000000.0,0.2702702702702703,0.46153846153846156,0.275
Cry1Ka1,0.5,0.4166666666666667,0.2978723404255319,0.4,0.37037037037037035,0.3684210526315789,0.39285714285714285,0.3023255813953488,0.2857142857142857
Cry1Ka2,0.34285714285714286,0.4166666666666667,0.2978723404255319,0.4,0.37037037037037035,0.3684210526315789,0.39285714285714285,0.3617021276595745,0.2857142857142857
Cry1La1,0.3076923076923077,-10000000.0,0.32432432432432434,0.3023255813953488,0.2916666666666667,0.4166666666666667,0.37142857142857144,0.2696629213483146,0.375
Cry1La2,0.22580645161290322,-10000000.0,0.32432432432432434,0.3023255813953488,0.2916666666666667,0.4166666666666667,0.37142857142857144,0.2696629213483146,0.375
Cry1La3,0.22580645161290322,-10000000.0,0.32432432432432434,0.3023255813953488,0.2916666666666667,0.43478260869565216,0.37142857142857144,0.2696629213483146,0.375
Cry1Ma1,0.2631578947368421,1.0,0.4444444444444444,0.46153846153846156,0.23529411764705882,0.2857142857142857,0.3076923076923077,0.2857142857142857,0.2647058823529412
Cry1Ma2,0.2631578947368421,-10000000.0,0.4444444444444444,0.46153846153846156,0.23529411764705882,0.2857142857142857,0.3,0.2857142857142857,0.25
Cry1Na1,0.24074074074074073,0.46153846153846156,0.3333333333333333,0.35714285714285715,0.2523364485981308,0.5833333333333334,0.2549019607843137,0.2962962962962963,0.5333333333333333
Cry1Na2,0.24074074074074073,0.46153846153846156,0.3333333333333333,0.35714285714285715,0.2523364485981308,0.5833333333333334,0.2549019607843137,0.2962962962962963,0.5333333333333333
Cry1Na3,0.24074074074074073,0.46153846153846156,0.3333333333333333,0.35714285714285715,0.2523364485981308,0.5833333333333334,0.2549019607843137,0.2962962962962963,0.225
Cry1Nb1,0.2537313432835821,0.46153846153846156,0.36363636363636365,0.36,0.23387096774193547,0.5555555555555556,0.29508196721311475,0.42857142857142855,0.35
Cry20Aa1,0.2972972972972973,0.2553191489361702,0.3448275862068966,0.1774193548387097,0.2916666666666667,0.4,0.34615384615384615,0.5,0.2692307692307692
Cry20Ba1,0.6666666666666666,0.2765957446808511,0.24615384615384617,0.21621621621621623,0.5,0.5454545454545454,0.2222222222222222,0.23076923076923078,0.5
Cry20Ba2,0.6666666666666666,0.2765957446808511,0.24615384615384617,0.21428571428571427,0.5,0.5454545454545454,0.2777777777777778,0.23076923076923078,0.5
Cry21Aa1,0.32,0.8333333333333334,0.2926829268292683,0.4,-10000000.0,0.2619047619047619,0.3684210526315789,0.2087912087912088,0.3
Cry21Aa2,0.32,0.8333333333333334,0.2926829268292683,0.4,-10000000.0,0.2619047619047619,0.3888888888888889,0.2087912087912088,0.3
Cry21Aa3,0.36,0.8333333333333334,0.2926829268292683,0.4,-10000000.0,0.2619047619047619,0.3888888888888889,0.2087912087912088,0.3
Cry21Ba1,0.3333333333333333,0.38095238095238093,0.3170731707317073,0.2413793103448276,-10000000.0,0.22413793103448276,0.4666666666666667,0.2903225806451613,0.36
Cry21Ca1,0.3333333333333333,0.38461538461538464,0.3170731707317073,0.24615384615384617,0.26,0.625,0.6666666666666666,0.40625,0.30952380952380953
Cry21Ca2,0.3333333333333333,-10000000.0,0.3170731707317073,0.24615384615384617,0.26,0.625,0.6666666666666666,0.40625,0.30952380952380953
Cry21Da1,0.3,0.3235294117647059,0.3170731707317073,0.47058823529411764,0.3888888888888889,0.2558139534883721,0.3181818181818182,0.2857142857142857,0.45454545454545453
Cry21Ea1,0.4117647058823529,0.4117647058823529,0.2391304347826087,0.47058823529411764,0.5,0.44,0.3333333333333333,0.375,0.42857142857142855
Cry21Fa1,0.43333333333333335,0.5,0.3170731707317073,0.47058823529411764,0.25,0.2708333333333333,0.21818181818181817,0.5,0.27586206896551724
Cry21Ga1,0.35555555555555557,0.23880597014925373,0.2054794520547945,0.20238095238095238,0.5,0.35294117647058826,0.18181818181818182,0.3170731707317073,0.5
Cry21Ha1,0.47368421052631576,0.34375,0.23232323232323232,0.21794871794871795,0.2727272727272727,0.27906976744186046,0.6666666666666666,0.3684210526315789,0.3333333333333333
Cry24Aa1,0.22388059701492538,0.4230769230769231,-10000000.0,0.24242424242424243,0.38095238095238093,-10000000.0,0.3684210526315789,0.2916666666666667,0.3
Cry24Ba1,0.2857142857142857,0.39285714285714285,0.35294117647058826,0.2727272727272727,0.38461538461538464,0.24489795918367346,0.3333333333333333,0.2708333333333333,0.36363636363636365
Cry24Ca1,0.26666666666666666,0.325,0.4444444444444444,0.4090909090909091,0.24390243902439024,0.6,0.3055555555555556,0.8571428571428571,0.3157894736842105
Cry24Da1,0.23255813953488372,0.25,0.375,0.38636363636363635,0.2619047619047619,0.6,0.25,0.37037037037037035,0.2571428571428571
Cry25Aa1,0.7,0.5454545454545454,0.23529411764705882,0.625,0.4666666666666667,0.30612244897959184,0.3684210526315789,0.34615384615384615,0.2857142857142857
Cry26Aa1,0.38095238095238093,0.2159090909090909,0.45454545454545453,0.34615384615384615,0.22695035460992907,-10000000.0,0.36,0.4117647058823529,0.4
Cry27Aa1,0.2962962962962963,0.21428571428571427,0.2553191489361702,0.24242424242424243,0.3,0.36363636363636365,0.32,0.2903225806451613,0.32142857142857145
Cry28Aa1,0.21311475409836064,0.2926829268292683,0.38461538461538464,0.2878787878787879,0.5,0.2682926829268293,0.2876712328767123,0.21428571428571427,0.36
Cry28Aa2,0.23333333333333334,0.2926829268292683,0.38461538461538464,0.2878787878787879,0.20588235294117646,0.4166666666666667,0.26666666666666666,0.21428571428571427,0.25263157894736843
Cry29Aa1,0.6666666666666666,0.23275862068965517,0.6,0.5,0.2777777777777778,0.2857142857142857,0.34285714285714286,0.4444444444444444,0.4166666666666667
Cry2Aa1,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa10,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa11,0.3,0.3333333333333333,0.36363636363636365,0.2054794520547945,0.35714285714285715,0.4166666666666667,0.3333333333333333,0.3137254901960784,0.5714285714285714
Cry2Aa12,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa13,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.2777777777777778,0.29411764705882354,0.29411764705882354
Cry2Aa14,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.29411764705882354,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa15,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa16,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa17,0.3,0.3333333333333333,0.38095238095238093,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.2777777777777778,0.29411764705882354,0.29411764705882354
Cry2Aa18,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa19,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa2,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa20,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa21,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa3,0.3,0.3333333333333333,0.3333333333333333,0.2054794520547945,0.35714285714285715,0.4166666666666667,0.3333333333333333,0.3137254901960784,0.5714285714285714
Cry2Aa4,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa5,0.3,0.3333333333333333,0.4117647058823529,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa6,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.25,0.29411764705882354,0.29411764705882354
Cry2Aa7,0.3,0.3333333333333333,0.4117647058823529,0.2054794520547945,0.42857142857142855,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa8,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21052631578947367,0.3333333333333333,0.29411764705882354,0.29411764705882354
Cry2Aa9,0.3,0.3333333333333333,0.36363636363636365,0.46153846153846156,0.35714285714285715,0.21951219512195122,0.3333333333333333,0.29411764705882354,0.29411764705882354
