,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry54Ab1,0.3333333333333333,0.3157894736842105,0.23404255319148937,0.20454545454545456,0.3125,0.32,0.2702702702702703,0.23809523809523808,0.2571428571428571
Cry54Ba1,0.2222222222222222,0.2857142857142857,-10000000.0,0.391304347826087,0.5,0.32,0.6,0.38095238095238093,0.42857142857142855
Cry54Ba2,0.2222222222222222,0.2857142857142857,-10000000.0,0.391304347826087,0.5,0.32,0.6,0.38095238095238093,0.42857142857142855
Cry56Aa1,0.23809523809523808,0.2553191489361702,0.20408163265306123,0.22727272727272727,0.2647058823529412,0.4117647058823529,0.35,0.25,0.36363636363636365
Cry56Aa2,0.23809523809523808,0.2553191489361702,0.20408163265306123,0.22727272727272727,0.2647058823529412,0.4117647058823529,0.375,0.25,0.36363636363636365
Cry56Aa3,0.23809523809523808,0.2553191489361702,0.20408163265306123,0.28846153846153844,0.2647058823529412,0.4117647058823529,0.375,0.2692307692307692,0.36363636363636365
Cry56Aa4,0.23809523809523808,0.2553191489361702,0.20408163265306123,0.22727272727272727,0.2647058823529412,0.4117647058823529,0.375,0.25,0.36363636363636365
Cry57Aa1,0.2,0.32432432432432434,0.4666666666666667,0.6666666666666666,0.19444444444444445,0.5,0.3333333333333333,-10000000.0,0.46153846153846156
Cry57Ab1,0.2,0.32432432432432434,0.4666666666666667,0.2619047619047619,0.34615384615384615,0.5,0.2857142857142857,-10000000.0,0.2647058823529412
Cry58Aa1,-10000000.0,0.47368421052631576,0.4166666666666667,0.24242424242424243,0.17045454545454544,0.22727272727272727,0.24,0.35135135135135137,0.46153846153846156
Cry59Aa1,0.2857142857142857,0.2962962962962963,-10000000.0,0.28846153846153844,0.19469026548672566,0.4117647058823529,0.6363636363636364,0.3333333333333333,0.4666666666666667
Cry59Ba1,0.25806451612903225,0.2702702702702703,0.375,0.2459016393442623,0.325,0.3269230769230769,0.7,0.8,0.4666666666666667
Cry5Aa1,0.3,-10000000.0,0.625,0.5555555555555556,0.2777777777777778,0.2727272727272727,0.2903225806451613,0.3333333333333333,0.26666666666666666
Cry5Ab1,0.3,-10000000.0,0.625,0.5555555555555556,0.2777777777777778,0.25925925925925924,0.2903225806451613,0.36363636363636365,0.2727272727272727
Cry5Ac1,0.34375,-10000000.0,0.625,0.5555555555555556,0.2777777777777778,0.25925925925925924,0.2903225806451613,0.36363636363636365,0.28125
Cry5Ad1,0.3,0.29411764705882354,0.3103448275862069,0.5555555555555556,0.42105263157894735,0.25925925925925924,0.2903225806451613,0.45454545454545453,0.23417721518987342
Cry5Ba1,0.23076923076923078,-10000000.0,0.3684210526315789,0.3235294117647059,0.34615384615384615,0.2857142857142857,0.22727272727272727,0.3684210526315789,0.3181818181818182
