,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry7Fa1,0.3793103448275862,0.3076923076923077,0.5555555555555556,0.6,0.42105263157894735,0.5454545454545454,0.6,0.5,0.2421875
Cry7Fa2,0.3793103448275862,0.3076923076923077,0.5555555555555556,0.6,0.42105263157894735,0.5454545454545454,0.6,0.5,0.2421875
Cry7Fb1,0.3793103448275862,0.3076923076923077,0.5555555555555556,0.3404255319148936,0.24489795918367346,0.5,0.27419354838709675,0.4375,0.21951219512195122
Cry7Fb2,0.3793103448275862,0.3076923076923077,0.5555555555555556,0.3404255319148936,0.24489795918367346,0.5,0.27419354838709675,0.4375,0.21951219512195122
Cry7Fb3,0.3793103448275862,0.3076923076923077,0.5555555555555556,0.2948717948717949,0.24489795918367346,0.5,0.27419354838709675,0.2597402597402597,0.21951219512195122
Cry7Ga1,0.47058823529411764,0.2807017543859649,0.28125,0.22033898305084745,0.5,0.30434782608695654,0.3125,0.2909090909090909,0.23529411764705882
Cry7Ga2,0.47058823529411764,0.2807017543859649,0.28125,0.22033898305084745,0.5,0.30434782608695654,0.3125,0.2909090909090909,0.23529411764705882
Cry7Gb1,0.7,0.2833333333333333,0.2727272727272727,0.2553191489361702,0.35294117647058826,0.2702702702702703,0.5833333333333334,0.26,0.30158730158730157
Cry7Gc1,0.7,0.2926829268292683,0.25,0.3157894736842105,0.5,0.47058823529411764,-10000000.0,0.26,0.5
Cry7Gd1,0.2602739726027397,0.2833333333333333,0.2727272727272727,0.2028985507246377,0.5,0.25675675675675674,0.36,0.2962962962962963,0.23170731707317074
Cry7Ha1,0.7,0.3170731707317073,0.46153846153846156,0.4375,0.24,0.2702702702702703,0.2619047619047619,0.2708333333333333,0.23529411764705882
Cry7Ia1,0.5,0.25,0.23728813559322035,0.25,0.35294117647058826,0.21052631578947367,0.36,0.30434782608695654,0.23529411764705882
Cry7Ja1,0.34615384615384615,0.2833333333333333,-10000000.0,0.2777777777777778,0.2345679012345679,0.24242424242424243,0.4230769230769231,0.24,0.23170731707317074
Cry7Ka1,0.47058823529411764,0.2833333333333333,0.375,0.4375,0.3157894736842105,0.29333333333333333,0.2564102564102564,0.2765957446808511,0.23170731707317074
Cry7Kb1,0.22,0.34146341463414637,0.3888888888888889,0.2916666666666667,0.5882352941176471,0.25,0.28846153846153844,0.3235294117647059,0.23529411764705882
Cry7La1,0.47058823529411764,0.2926829268292683,0.32,0.3888888888888889,0.5,0.28,0.3,0.42105263157894735,0.24390243902439024
Cry8Aa1,0.2564102564102564,0.22330097087378642,0.2727272727272727,0.3611111111111111,0.27419354838709675,0.3333333333333333,0.26851851851851855,0.2459016393442623,0.21568627450980393
Cry8Ab1,0.23076923076923078,-10000000.0,0.32653061224489793,0.40625,0.30434782608695654,0.23333333333333334,0.26,0.2459016393442623,0.24719101123595505
Cry8Ac1,0.23076923076923078,0.25925925925925924,0.27941176470588236,0.275,0.2926829268292683,0.23728813559322035,0.2558139534883721,0.2459016393442623,0.3142857142857143
Cry8Ad1,0.2702702702702703,0.3888888888888889,0.265625,0.3508771929824561,0.2608695652173913,0.23333333333333334,0.21428571428571427,0.26229508196721313,0.4117647058823529
Cry8Ba1,0.23076923076923078,0.2222222222222222,0.2857142857142857,0.4,0.25,0.8571428571428571,0.22580645161290322,0.46153846153846156,0.2246376811594203
Cry8Bb1,0.2564102564102564,0.5833333333333334,0.36666666666666664,0.2413793103448276,0.3888888888888889,0.26666666666666666,0.24390243902439024,0.26229508196721313,0.21568627450980393
Cry8Bc1,0.2564102564102564,0.5833333333333334,0.36666666666666664,0.35,0.3888888888888889,0.24444444444444444,0.24390243902439024,0.26229508196721313,0.21568627450980393
Cry8Ca1,0.27906976744186046,-10000000.0,0.23076923076923078,0.36363636363636365,0.275,0.391304347826087,0.6666666666666666,0.32,0.2692307692307692
Cry8Ca2,0.27906976744186046,-10000000.0,0.23076923076923078,0.36363636363636365,0.275,0.391304347826087,0.6666666666666666,0.32,0.2692307692307692
Cry8Ca3,0.27906976744186046,-10000000.0,0.23076923076923078,0.36363636363636365,0.275,0.391304347826087,0.6666666666666666,0.32,0.2413793103448276
Cry8Ca4,0.27906976744186046,-10000000.0,0.23076923076923078,0.36363636363636365,0.275,0.391304347826087,0.6666666666666666,0.32,0.2413793103448276
Cry8Da1,0.6363636363636364,0.8333333333333334,0.3170731707317073,0.21568627450980393,0.2916666666666667,0.2727272727272727,0.37037037037037035,0.2962962962962963,0.4117647058823529
Cry8Da2,0.6363636363636364,0.8333333333333334,0.3170731707317073,0.21568627450980393,0.2916666666666667,0.2727272727272727,0.37037037037037035,0.2962962962962963,0.4117647058823529
Cry8Da3,0.6363636363636364,0.8333333333333334,0.3170731707317073,0.21568627450980393,0.2916666666666667,0.2727272727272727,0.37037037037037035,0.2962962962962963,0.4117647058823529
Cry8Db1,0.6363636363636364,0.24324324324324326,0.2926829268292683,0.2597402597402597,0.2916666666666667,0.23333333333333334,0.21428571428571427,0.2857142857142857,0.4117647058823529
Cry8Ea1,0.23076923076923078,0.2631578947368421,0.375,0.4,0.2653061224489796,0.7333333333333333,0.21428571428571427,0.3103448275862069,0.3125
Cry8Ea2,0.23076923076923078,0.2631578947368421,0.375,0.4,0.2653061224489796,0.6,0.24675324675324675,0.24752475247524752,0.3125
Cry8Ea3,0.23076923076923078,0.2631578947368421,0.375,0.4,0.2653061224489796,0.7333333333333333,0.21428571428571427,0.2230769230769231,0.3125
Cry8Ea4,0.23076923076923078,0.2631578947368421,0.375,0.4,0.2653061224489796,0.7333333333333333,0.21428571428571427,0.2727272727272727,0.24444444444444444
Cry8Ea5,0.23076923076923078,0.2631578947368421,0.375,0.4,0.2653061224489796,0.7333333333333333,0.21428571428571427,0.3103448275862069,0.3125
Cry8Ea6,0.23076923076923078,0.2631578947368421,0.375,0.4,0.2653061224489796,0.6,0.24675324675324675,0.24752475247524752,0.3125
Cry8Fa1,0.23076923076923078,0.38095238095238093,0.42857142857142855,0.34782608695652173,0.2571428571428571,0.46153846153846156,0.21428571428571427,0.22950819672131148,0.20833333333333334
Cry8Fa2,0.23076923076923078,0.38095238095238093,0.5,0.34782608695652173,0.2571428571428571,0.46153846153846156,0.21428571428571427,0.22950819672131148,0.20833333333333334
Cry8Fa3,0.23076923076923078,0.38095238095238093,0.42857142857142855,0.34782608695652173,0.2571428571428571,0.46153846153846156,0.21428571428571427,0.22950819672131148,0.20833333333333334
Cry8Fa4,0.23076923076923078,0.38095238095238093,0.42857142857142855,0.34782608695652173,0.2571428571428571,0.46153846153846156,0.21428571428571427,0.28125,0.20833333333333334
Cry8Ga1,0.3181818181818182,0.3157894736842105,0.38461538461538464,0.22807017543859648,0.24358974358974358,0.4,0.2127659574468085,0.2553191489361702,0.43478260869565216
Cry8Ga2,0.3181818181818182,0.3157894736842105,0.38461538461538464,0.22807017543859648,0.24358974358974358,0.4,0.2127659574468085,0.2553191489361702,0.4666666666666667
Cry8Ga3,0.3181818181818182,0.3157894736842105,0.38461538461538464,0.22807017543859648,0.24358974358974358,0.4,0.2127659574468085,0.2553191489361702,0.4666666666666667
Cry8Ha1,0.30952380952380953,0.42105263157894735,0.26,0.3888888888888889,0.24,0.34615384615384615,0.23529411764705882,0.38461538461538464,0.2465753424657534
Cry8Hb1,0.30952380952380953,0.42105263157894735,0.2459016393442623,0.35,0.2777777777777778,0.4230769230769231,0.2777777777777778,0.4,0.26666666666666666
Cry8Ia1,0.32653061224489793,0.5454545454545454,0.26865671641791045,0.21052631578947367,0.1968503937007874,0.45454545454545453,0.28125,0.3333333333333333,0.25675675675675674
Cry8Ia2,0.32653061224489793,0.5454545454545454,0.26865671641791045,0.21052631578947367,0.1968503937007874,0.45454545454545453,0.28125,0.3333333333333333,0.25675675675675674
Cry8Ia3,0.2857142857142857,0.5454545454545454,0.26865671641791045,0.21052631578947367,0.1968503937007874,0.45454545454545453,0.28125,0.3333333333333333,0.25675675675675674
Cry8Ia4,0.32653061224489793,0.5454545454545454,0.26865671641791045,0.21052631578947367,0.1968503937007874,0.45454545454545453,0.28125,0.3333333333333333,0.25675675675675674
Cry8Ib1,0.37037037037037035,0.22413793103448276,0.21875,0.3,0.23636363636363636,0.2542372881355932,0.3333333333333333,0.4,0.28421052631578947
Cry8Ib2,0.37037037037037035,0.22413793103448276,0.21875,0.3,0.23636363636363636,0.2542372881355932,0.3333333333333333,0.4,0.28421052631578947
Cry8Ib3,0.4,0.22413793103448276,0.2711864406779661,0.3,0.23636363636363636,0.2542372881355932,0.3333333333333333,0.5833333333333334,0.28421052631578947
Cry8Ja1,0.6363636363636364,0.2631578947368421,0.4375,0.4,0.2653061224489796,0.32142857142857145,0.6666666666666666,0.24271844660194175,0.2413793103448276
Cry8Ka1,0.25,0.40625,0.2857142857142857,0.4074074074074074,0.5454545454545454,0.5,0.23404255319148937,0.32,0.2
Cry8Ka2,0.25,0.2608695652173913,0.2857142857142857,0.4074074074074074,0.3235294117647059,0.2830188679245283,0.3125,0.26229508196721313,0.23529411764705882
Cry8Ka3,0.25,0.2608695652173913,0.2857142857142857,0.4074074074074074,0.3235294117647059,0.2830188679245283,0.3125,0.26229508196721313,0.23529411764705882
Cry8Kb1,0.2777777777777778,0.40625,0.25,0.4074074074074074,0.2727272727272727,0.46153846153846156,0.4827586206896552,0.26229508196721313,0.2549019607843137
Cry8Kb2,0.2777777777777778,0.40625,0.25,0.4074074074074074,0.5454545454545454,0.46153846153846156,0.4827586206896552,0.26229508196721313,0.23529411764705882
Cry8Kb3,0.2777777777777778,0.40625,0.25,0.4074074074074074,0.5454545454545454,0.46153846153846156,0.4827586206896552,0.26229508196721313,0.23529411764705882
Cry8La1,0.41379310344827586,0.3333333333333333,0.375,0.2878787878787879,0.22916666666666666,0.38461538461538464,0.35294117647058826,0.25,0.2222222222222222
Cry8Ma1,0.37777777777777777,0.22580645161290322,-10000000.0,0.35,0.2631578947368421,0.2608695652173913,0.3225806451612903,0.3,0.2777777777777778
Cry8Ma2,0.43478260869565216,0.36363636363636365,0.36,0.4166666666666667,0.3333333333333333,0.2608695652173913,0.4444444444444444,0.4,0.42857142857142855
