,2QP2A,2QQHA,3NSJA,3OJYB,5J67A,5OUPA,6CXOA,4OEJA,2BK2A
Cry8Ma3,0.37777777777777777,0.22580645161290322,-10000000.0,0.35,0.2631578947368421,0.2608695652173913,0.3225806451612903,0.3,0.2777777777777778
Cry8Na1,0.3,-10000000.0,0.23684210526315788,0.32,0.7,0.3,0.25,0.34782608695652173,0.24050632911392406
Cry8Pa1,0.24324324324324326,0.42857142857142855,0.2857142857142857,0.4,0.3333333333333333,0.36,0.23404255319148937,0.24210526315789474,0.5454545454545454
Cry8Pa2,0.24324324324324326,-10000000.0,0.2857142857142857,0.4,0.3333333333333333,0.36,0.23404255319148937,0.24210526315789474,0.5454545454545454
Cry8Pa3,0.24324324324324326,-10000000.0,0.2857142857142857,0.4,0.3333333333333333,0.36,0.23404255319148937,0.24210526315789474,0.5454545454545454
Cry8Qa1,0.2894736842105263,0.4166666666666667,0.4375,0.28,0.36363636363636365,0.21666666666666667,0.4,0.26229508196721313,0.2549019607843137
Cry8Qa2,0.2894736842105263,0.4166666666666667,0.4375,0.28,0.36363636363636365,0.21666666666666667,0.4,0.26229508196721313,0.2549019607843137
Cry8Ra1,0.2903225806451613,0.24528301886792453,0.3684210526315789,0.4642857142857143,0.25,0.30303030303030304,0.275,0.2236842105263158,0.22972972972972974
Cry8Sa1,0.4,0.25925925925925924,0.39285714285714285,0.17142857142857143,0.46153846153846156,0.34615384615384615,0.3076923076923077,0.3333333333333333,0.2
Cry8Ta1,0.4,0.3333333333333333,0.28888888888888886,-10000000.0,0.23214285714285715,0.32558139534883723,0.2647058823529412,0.38461538461538464,0.4444444444444444
Cry9Aa1,0.22727272727272727,0.4090909090909091,0.47058823529411764,0.23484848484848486,0.4,0.36363636363636365,0.3142857142857143,0.25,0.5384615384615384
Cry9Aa2,0.22727272727272727,0.4090909090909091,0.47058823529411764,0.23484848484848486,0.4,0.36363636363636365,0.3142857142857143,0.25,0.5384615384615384
Cry9Aa3,0.22727272727272727,0.4090909090909091,0.47058823529411764,0.23484848484848486,0.4,0.36363636363636365,0.3142857142857143,0.25,0.5384615384615384
Cry9Aa4,0.39285714285714285,0.4090909090909091,0.47058823529411764,0.24369747899159663,0.4,0.36363636363636365,0.3142857142857143,0.25,0.5384615384615384
Cry9Aa5,0.22727272727272727,0.4090909090909091,0.47058823529411764,0.24369747899159663,0.4,0.36363636363636365,0.3142857142857143,0.25,0.5384615384615384
Cry9Ba1,0.35714285714285715,0.3142857142857143,0.17073170731707318,0.3,0.23684210526315788,0.4,0.38095238095238093,0.4117647058823529,0.28205128205128205
Cry9Ba2,0.35714285714285715,0.3142857142857143,0.2653061224489796,0.3,0.23684210526315788,0.4,0.35,0.4117647058823529,0.28205128205128205
Cry9Bb1,0.24615384615384617,0.21951219512195122,0.2916666666666667,0.2777777777777778,0.46153846153846156,0.5555555555555556,0.38095238095238093,0.22093023255813954,0.28205128205128205
Cry9Ca1,0.4,0.32608695652173914,0.2571428571428571,0.3225806451612903,0.21052631578947367,0.42105263157894735,0.2777777777777778,0.3191489361702128,0.2
Cry9Ca2,0.4,0.32608695652173914,0.3333333333333333,0.3225806451612903,0.21052631578947367,0.42105263157894735,0.2777777777777778,0.3191489361702128,0.4117647058823529
Cry9Cb1,0.20481927710843373,0.4074074074074074,0.3333333333333333,0.3548387096774194,0.23404255319148937,0.42105263157894735,0.18292682926829268,-10000000.0,0.2564102564102564
Cry9Da1,0.47619047619047616,0.47058823529411764,0.3333333333333333,0.25,0.21052631578947367,0.4666666666666667,0.3055555555555556,0.25862068965517243,0.25757575757575757
Cry9Da2,0.43478260869565216,0.47058823529411764,0.3333333333333333,0.3076923076923077,0.2916666666666667,0.35294117647058826,0.3055555555555556,0.32075471698113206,0.25757575757575757
Cry9Da3,0.47619047619047616,0.47058823529411764,0.3333333333333333,0.25,0.21052631578947367,0.4666666666666667,0.3055555555555556,0.32075471698113206,0.25757575757575757
Cry9Da4,0.47619047619047616,0.47058823529411764,0.3333333333333333,0.25,0.21052631578947367,0.4666666666666667,0.3055555555555556,0.32075471698113206,0.25757575757575757
Cry9Db1,0.25,0.4074074074074074,0.34285714285714286,0.3548387096774194,0.38461538461538464,0.3442622950819672,0.23076923076923078,0.32075471698113206,0.2564102564102564
Cry9Dc1,0.24242424242424243,0.4074074074074074,0.3076923076923077,0.3225806451612903,0.21052631578947367,0.28205128205128205,0.28169014084507044,1.0,0.4117647058823529
Cry9Ea1,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.34375,0.43478260869565216,0.22448979591836735,0.2564102564102564
Cry9Ea10,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.2653061224489796,0.3488372093023256,0.3548387096774194,0.43478260869565216,0.22448979591836735,0.2564102564102564
Cry9Ea11,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.34375,0.43478260869565216,0.22448979591836735,0.2564102564102564
Cry9Ea2,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.34375,0.43478260869565216,0.22448979591836735,0.2564102564102564
Cry9Ea3,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.34375,0.43478260869565216,0.22448979591836735,0.2564102564102564
Cry9Ea4,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.25,0.3488372093023256,0.3548387096774194,0.43478260869565216,0.22448979591836735,0.2564102564102564
Cry9Ea5,0.24242424242424243,0.3157894736842105,0.29411764705882354,-10000000.0,0.3488372093023256,0.3548387096774194,0.375,0.22448979591836735,0.2564102564102564
Cry9Ea6,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.34375,0.43478260869565216,0.25,0.4
Cry9Ea7,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.3548387096774194,0.43478260869565216,0.22448979591836735,0.5238095238095238
Cry9Ea8,0.24242424242424243,0.3684210526315789,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.3548387096774194,0.36363636363636365,0.22448979591836735,0.2564102564102564
Cry9Ea9,0.24242424242424243,0.30612244897959184,0.29411764705882354,0.22727272727272727,0.3488372093023256,0.34375,0.43478260869565216,0.22448979591836735,0.2564102564102564
Cry9Eb1,0.35714285714285715,0.2647058823529412,0.29411764705882354,0.3076923076923077,0.2777777777777778,0.34375,0.25757575757575757,0.3023255813953488,0.4
Cry9Eb2,0.39285714285714285,0.2647058823529412,0.29411764705882354,0.3076923076923077,0.2857142857142857,0.3548387096774194,0.25757575757575757,0.22535211267605634,0.4
Cry9Eb3,0.39285714285714285,0.2647058823529412,0.29411764705882354,0.3076923076923077,-10000000.0,0.3548387096774194,0.25757575757575757,0.19801980198019803,0.4
Cry9Ec1,0.20634920634920634,0.2857142857142857,0.4166666666666667,0.21739130434782608,0.2857142857142857,0.42857142857142855,0.25757575757575757,0.5,0.4117647058823529
Cry9Ed1,0.23809523809523808,0.35,0.23809523809523808,0.25,0.26,0.42105263157894735,0.25773195876288657,0.5,0.3333333333333333
Cry9Ee1,0.18604651162790697,0.2708333333333333,0.21621621621621623,0.25252525252525254,0.5454545454545454,0.4117647058823529,0.21052631578947367,0.3181818181818182,0.2564102564102564
Cry9Ee2,0.18604651162790697,0.2708333333333333,0.21621621621621623,0.25252525252525254,0.5454545454545454,0.4117647058823529,0.21052631578947367,0.3181818181818182,0.2564102564102564
Cry9Fa1,0.35,0.4117647058823529,0.29310344827586204,0.3225806451612903,0.24074074074074073,0.2413793103448276,0.26153846153846155,0.3157894736842105,0.5
Cry9Ga1,0.24675324675324675,0.4090909090909091,0.35714285714285715,0.23484848484848486,0.29545454545454547,0.5,0.3142857142857143,0.2978723404255319,0.5384615384615384
