,2XH6A,2ZOEA,3WINE,4MJTA
Cry2Ab5,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab6,0.3684210526315789,0.24050632911392406,0.34782608695652173,0.5833333333333334
Cry2Ab7,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab8,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab9,0.3684210526315789,0.21621621621621623,-10000000.0,0.5833333333333334
Cry2Ac1,0.3235294117647059,0.25,0.3333333333333333,0.5
Cry2Ac10,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac11,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac12,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac2,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac3,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac4,0.36363636363636365,0.23529411764705882,0.2222222222222222,0.5
Cry2Ac5,0.3888888888888889,0.25,0.2222222222222222,0.5
Cry2Ac6,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac7,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac8,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ac9,0.36363636363636365,0.25,0.2222222222222222,0.5
Cry2Ad1,0.4444444444444444,0.34782608695652173,0.4375,0.35714285714285715
Cry2Ad2,0.4444444444444444,0.34782608695652173,0.4375,0.35714285714285715
Cry2Ad3,0.4444444444444444,0.34782608695652173,0.4375,0.35714285714285715
Cry2Ad4,0.4444444444444444,0.34782608695652173,0.4375,0.35714285714285715
Cry2Ad5,0.4444444444444444,0.34782608695652173,0.4375,0.35714285714285715
Cry2Ae1,0.3142857142857143,0.391304347826087,0.2222222222222222,0.35714285714285715
Cry2Af1,0.25,0.2777777777777778,0.19444444444444445,0.2962962962962963
Cry2Af2,0.25,0.2777777777777778,0.19444444444444445,0.2962962962962963
Cry2Ag1,0.3684210526315789,0.22988505747126436,0.875,0.2978723404255319
Cry2Ah1,0.2857142857142857,0.24050632911392406,0.2222222222222222,0.3404255319148936
Cry2Ah2,-10000000.0,0.21621621621621623,0.34782608695652173,0.3404255319148936
Cry2Ah3,0.2857142857142857,0.24050632911392406,0.2222222222222222,0.3404255319148936
Cry2Ah4,-10000000.0,0.21621621621621623,0.2222222222222222,0.3404255319148936
Cry2Ah5,0.2857142857142857,0.24050632911392406,0.2222222222222222,0.3404255319148936
Cry2Ah6,0.2857142857142857,0.24050632911392406,0.2222222222222222,0.3404255319148936
Cry2Ai1,0.36363636363636365,0.24050632911392406,0.3548387096774194,0.2857142857142857
Cry2Ak1,0.3142857142857143,0.5,0.2830188679245283,0.3181818181818182
Cry2Al1,0.4117647058823529,-10000000.0,0.3548387096774194,0.20833333333333334
Cry2Am1,0.3684210526315789,0.21621621621621623,0.4375,0.5833333333333334
Cry2Ba1,0.23684210526315788,0.18571428571428572,0.4,0.3333333333333333
Cry2Ba2,0.23684210526315788,0.18571428571428572,0.4,0.3333333333333333
Cry30Aa1,0.3548387096774194,0.22972972972972974,0.35714285714285715,0.4
Cry30Ba1,0.38461538461538464,0.6,0.37037037037037035,0.2857142857142857
Cry30Ca1,0.30434782608695654,0.2857142857142857,0.3333333333333333,0.4375
Cry30Ca2,0.2903225806451613,0.3,0.3333333333333333,0.42857142857142855
Cry30Da1,0.3333333333333333,0.2972972972972973,0.30303030303030304,0.35294117647058826
Cry30Db1,0.32142857142857145,0.32432432432432434,0.3541666666666667,0.5
Cry30Ea1,0.23684210526315788,0.2972972972972973,0.35714285714285715,0.36
Cry30Ea2,0.23684210526315788,0.24324324324324326,0.5,0.36
Cry30Ea3,0.23684210526315788,0.2972972972972973,0.5,0.34782608695652173
Cry30Ea4,0.23684210526315788,0.2972972972972973,0.5,0.36
Cry30Fa1,0.5333333333333333,0.2857142857142857,0.2962962962962963,0.5384615384615384
Cry30Ga1,0.2962962962962963,0.2661290322580645,0.3888888888888889,0.2558139534883721
Cry30Ga2,0.2962962962962963,0.24770642201834864,0.3888888888888889,0.2558139534883721
Cry31Aa1,0.5833333333333334,0.32,0.2916666666666667,0.46153846153846156
Cry31Aa2,0.6666666666666666,0.32,0.29411764705882354,0.46153846153846156
Cry31Aa3,0.5833333333333334,0.32,0.2916666666666667,0.46153846153846156
Cry31Aa4,0.5833333333333334,0.32,0.2916666666666667,0.46153846153846156
Cry31Aa5,0.5833333333333334,0.32,0.2916666666666667,0.46153846153846156
Cry31Aa6,0.5833333333333334,0.32,0.29411764705882354,0.46153846153846156
Cry31Ab1,0.2682926829268293,0.32,0.29411764705882354,0.42105263157894735
Cry31Ab2,0.22772277227722773,0.32,0.29411764705882354,0.42105263157894735
Cry31Ac1,0.2222222222222222,0.32,0.2916666666666667,0.5
